Data; Group; Nome_POD; APT
ter 07 mar 2023 19:27:36 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:27:47 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:27:58 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:28:09 -03; Group 2; redis-67db9bd79b-msprv; 10.59
ter 07 mar 2023 19:28:20 -03; Group 2; redis-67db9bd79b-msprv; 10.40
ter 07 mar 2023 19:28:30 -03; Group 2; redis-67db9bd79b-msprv; 10.41
ter 07 mar 2023 19:28:41 -03; Group 2; redis-67db9bd79b-msprv; 10.40
ter 07 mar 2023 19:28:52 -03; Group 2; redis-67db9bd79b-msprv; 10.37
ter 07 mar 2023 19:29:03 -03; Group 2; redis-67db9bd79b-msprv; 10.39
ter 07 mar 2023 19:29:13 -03; Group 2; redis-67db9bd79b-msprv; 10.37
ter 07 mar 2023 19:29:24 -03; Group 2; redis-67db9bd79b-msprv; 10.37
ter 07 mar 2023 19:29:35 -03; Group 2; redis-67db9bd79b-msprv; 10.36
ter 07 mar 2023 19:29:46 -03; Group 2; redis-67db9bd79b-msprv; 10.41
ter 07 mar 2023 19:29:56 -03; Group 2; redis-67db9bd79b-msprv; 10.40
ter 07 mar 2023 19:30:07 -03; Group 2; redis-67db9bd79b-msprv; 10.39
ter 07 mar 2023 19:30:18 -03; Group 2; redis-67db9bd79b-msprv; 10.40
ter 07 mar 2023 19:30:29 -03; Group 2; redis-67db9bd79b-msprv; 10.41
ter 07 mar 2023 19:30:40 -03; Group 2; redis-67db9bd79b-msprv; 10.39
ter 07 mar 2023 19:30:50 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:31:01 -03; Group 2; redis-67db9bd79b-msprv; 10.37
ter 07 mar 2023 19:31:12 -03; Group 2; redis-67db9bd79b-msprv; 10.37
ter 07 mar 2023 19:31:23 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:31:34 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:31:44 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:31:55 -03; Group 2; redis-67db9bd79b-msprv; 10.40
ter 07 mar 2023 19:32:06 -03; Group 2; redis-67db9bd79b-msprv; 10.39
ter 07 mar 2023 19:32:17 -03; Group 2; redis-67db9bd79b-msprv; 10.42
ter 07 mar 2023 19:32:28 -03; Group 2; redis-67db9bd79b-msprv; 10.40
ter 07 mar 2023 19:32:38 -03; Group 2; redis-67db9bd79b-msprv; 10.38
ter 07 mar 2023 19:32:49 -03; Group 2; redis-67db9bd79b-msprv; 10.36
