Data; Group; Nome_POD; APT
ter 07 mar 2023 19:34:51 -03; Group 2; result-77f68799c4-tkqx9; 21.163
ter 07 mar 2023 19:36:52 -03; Group 2; result-77f68799c4-tkqx9; 21.113
ter 07 mar 2023 19:38:54 -03; Group 2; result-77f68799c4-tkqx9; 21.134
ter 07 mar 2023 19:40:55 -03; Group 2; result-77f68799c4-tkqx9; 21.114
ter 07 mar 2023 19:42:57 -03; Group 2; result-77f68799c4-tkqx9; 21.174
ter 07 mar 2023 19:44:59 -03; Group 2; result-77f68799c4-tkqx9; 21.328
ter 07 mar 2023 19:47:00 -03; Group 2; result-77f68799c4-tkqx9; 21.086
ter 07 mar 2023 19:49:02 -03; Group 2; result-77f68799c4-tkqx9; 21.077
ter 07 mar 2023 19:51:03 -03; Group 2; result-77f68799c4-tkqx9; 21.098
ter 07 mar 2023 19:53:05 -03; Group 2; result-77f68799c4-tkqx9; 21.115
ter 07 mar 2023 19:55:06 -03; Group 2; result-77f68799c4-tkqx9; 21.088
ter 07 mar 2023 19:57:08 -03; Group 2; result-77f68799c4-tkqx9; 21.123
ter 07 mar 2023 19:59:10 -03; Group 2; result-77f68799c4-tkqx9; 21.319
ter 07 mar 2023 20:01:11 -03; Group 2; result-77f68799c4-tkqx9; 21.108
ter 07 mar 2023 20:03:13 -03; Group 2; result-77f68799c4-tkqx9; 21.122
ter 07 mar 2023 20:05:14 -03; Group 2; result-77f68799c4-tkqx9; 21.114
ter 07 mar 2023 20:07:16 -03; Group 2; result-77f68799c4-tkqx9; 21.159
ter 07 mar 2023 20:09:17 -03; Group 2; result-77f68799c4-tkqx9; 21.082
ter 07 mar 2023 20:11:19 -03; Group 2; result-77f68799c4-tkqx9; 21.297
ter 07 mar 2023 20:13:21 -03; Group 2; result-77f68799c4-tkqx9; 21.124
ter 07 mar 2023 20:15:22 -03; Group 2; result-77f68799c4-tkqx9; 21.087
ter 07 mar 2023 20:17:24 -03; Group 2; result-77f68799c4-tkqx9; 21.099
ter 07 mar 2023 20:19:25 -03; Group 2; result-77f68799c4-tkqx9; 21.143
ter 07 mar 2023 20:21:27 -03; Group 2; result-77f68799c4-tkqx9; 21.114
ter 07 mar 2023 20:23:28 -03; Group 2; result-77f68799c4-tkqx9; 21.050
ter 07 mar 2023 20:25:30 -03; Group 2; result-77f68799c4-tkqx9; 21.113
ter 07 mar 2023 20:27:31 -03; Group 2; result-77f68799c4-tkqx9; 21.122
ter 07 mar 2023 20:29:33 -03; Group 2; result-77f68799c4-tkqx9; 21.099
ter 07 mar 2023 20:31:35 -03; Group 2; result-77f68799c4-tkqx9; 21.184
ter 07 mar 2023 20:33:36 -03; Group 2; result-77f68799c4-tkqx9; 21.124
