Data; Group; Nome_POD; PING
ter 07 mar 2023 18:02:42 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:03:00 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:03:19 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:03:37 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:03:56 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:04:14 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:04:32 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:04:51 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:05:09 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:05:28 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:05:46 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:06:05 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:06:23 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:06:41 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:07:00 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:07:18 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:07:37 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:07:55 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:08:14 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:08:32 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:08:51 -03; Group 2; result-77f68799c4-tkqx9; 018.06
ter 07 mar 2023 18:09:09 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:09:27 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:09:46 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:10:04 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:10:23 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:10:41 -03; Group 2; result-77f68799c4-tkqx9; 018.01
ter 07 mar 2023 18:11:00 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:11:18 -03; Group 2; result-77f68799c4-tkqx9; 018.02
ter 07 mar 2023 18:11:36 -03; Group 2; result-77f68799c4-tkqx9; 018.02
