Data; Group; Nome_POD; WGET
ter 07 mar 2023 17:11:50 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:11:56 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:01 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:07 -03; Group 2; redis-67db9bd79b-msprv; 05.07
ter 07 mar 2023 17:12:12 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:18 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:23 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:29 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:34 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:40 -03; Group 2; redis-67db9bd79b-msprv; 05.07
ter 07 mar 2023 17:12:45 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:51 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:12:56 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:13:02 -03; Group 2; redis-67db9bd79b-msprv; 05.07
ter 07 mar 2023 17:13:07 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:13:12 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:13:18 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:13:23 -03; Group 2; redis-67db9bd79b-msprv; 05.07
ter 07 mar 2023 17:13:29 -03; Group 2; redis-67db9bd79b-msprv; 05.05
ter 07 mar 2023 17:13:34 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:13:40 -03; Group 2; redis-67db9bd79b-msprv; 05.07
ter 07 mar 2023 17:13:45 -03; Group 2; redis-67db9bd79b-msprv; 05.08
ter 07 mar 2023 17:13:51 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:13:56 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:14:01 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:14:07 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:14:12 -03; Group 2; redis-67db9bd79b-msprv; 05.05
ter 07 mar 2023 17:14:18 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:14:23 -03; Group 2; redis-67db9bd79b-msprv; 05.06
ter 07 mar 2023 17:14:29 -03; Group 2; redis-67db9bd79b-msprv; 05.05
