Data; Group; Nome_POD; APT
sex 24 fev 2023 21:42:15 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:42:26 -03; Group 2; vote-79787c6c8b-dbn8r; 10.22
sex 24 fev 2023 21:42:36 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:42:47 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:42:58 -03; Group 2; vote-79787c6c8b-dbn8r; 10.18
sex 24 fev 2023 21:43:08 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:43:19 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:43:29 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:43:40 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:43:51 -03; Group 2; vote-79787c6c8b-dbn8r; 10.21
sex 24 fev 2023 21:44:01 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:44:12 -03; Group 2; vote-79787c6c8b-dbn8r; 10.18
sex 24 fev 2023 21:44:22 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:44:33 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:44:44 -03; Group 2; vote-79787c6c8b-dbn8r; 10.18
sex 24 fev 2023 21:44:54 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:45:05 -03; Group 2; vote-79787c6c8b-dbn8r; 10.18
sex 24 fev 2023 21:45:15 -03; Group 2; vote-79787c6c8b-dbn8r; 10.18
sex 24 fev 2023 21:45:26 -03; Group 2; vote-79787c6c8b-dbn8r; 10.22
sex 24 fev 2023 21:45:36 -03; Group 2; vote-79787c6c8b-dbn8r; 10.18
sex 24 fev 2023 21:45:47 -03; Group 2; vote-79787c6c8b-dbn8r; 10.48
sex 24 fev 2023 21:45:58 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:46:08 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:46:19 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:46:30 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:46:40 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:46:51 -03; Group 2; vote-79787c6c8b-dbn8r; 10.23
sex 24 fev 2023 21:47:01 -03; Group 2; vote-79787c6c8b-dbn8r; 10.20
sex 24 fev 2023 21:47:12 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
sex 24 fev 2023 21:47:23 -03; Group 2; vote-79787c6c8b-dbn8r; 10.19
