Data; Group; Nome_POD; CURL
sex 24 fev 2023 23:09:11 -03; Group 2; result-77f68799c4-2p4sr; 020.592
sex 24 fev 2023 23:09:32 -03; Group 2; result-77f68799c4-2p4sr; 020.634
sex 24 fev 2023 23:09:53 -03; Group 2; result-77f68799c4-2p4sr; 020.639
sex 24 fev 2023 23:10:14 -03; Group 2; result-77f68799c4-2p4sr; 020.688
sex 24 fev 2023 23:10:35 -03; Group 2; result-77f68799c4-2p4sr; 020.693
sex 24 fev 2023 23:10:56 -03; Group 2; result-77f68799c4-2p4sr; 020.653
sex 24 fev 2023 23:11:18 -03; Group 2; result-77f68799c4-2p4sr; 020.686
sex 24 fev 2023 23:11:39 -03; Group 2; result-77f68799c4-2p4sr; 020.616
sex 24 fev 2023 23:12:00 -03; Group 2; result-77f68799c4-2p4sr; 020.623
sex 24 fev 2023 23:12:21 -03; Group 2; result-77f68799c4-2p4sr; 020.634
sex 24 fev 2023 23:12:42 -03; Group 2; result-77f68799c4-2p4sr; 020.657
sex 24 fev 2023 23:13:03 -03; Group 2; result-77f68799c4-2p4sr; 020.682
sex 24 fev 2023 23:13:24 -03; Group 2; result-77f68799c4-2p4sr; 020.623
sex 24 fev 2023 23:13:45 -03; Group 2; result-77f68799c4-2p4sr; 020.597
sex 24 fev 2023 23:14:06 -03; Group 2; result-77f68799c4-2p4sr; 020.685
sex 24 fev 2023 23:14:27 -03; Group 2; result-77f68799c4-2p4sr; 020.634
sex 24 fev 2023 23:14:48 -03; Group 2; result-77f68799c4-2p4sr; 020.600
sex 24 fev 2023 23:15:09 -03; Group 2; result-77f68799c4-2p4sr; 020.641
sex 24 fev 2023 23:15:30 -03; Group 2; result-77f68799c4-2p4sr; 020.695
sex 24 fev 2023 23:15:51 -03; Group 2; result-77f68799c4-2p4sr; 020.652
sex 24 fev 2023 23:16:12 -03; Group 2; result-77f68799c4-2p4sr; 020.666
sex 24 fev 2023 23:16:33 -03; Group 2; result-77f68799c4-2p4sr; 020.653
sex 24 fev 2023 23:16:54 -03; Group 2; result-77f68799c4-2p4sr; 020.627
sex 24 fev 2023 23:17:15 -03; Group 2; result-77f68799c4-2p4sr; 020.659
sex 24 fev 2023 23:17:36 -03; Group 2; result-77f68799c4-2p4sr; 020.627
sex 24 fev 2023 23:17:58 -03; Group 2; result-77f68799c4-2p4sr; 020.632
sex 24 fev 2023 23:18:19 -03; Group 2; result-77f68799c4-2p4sr; 020.638
sex 24 fev 2023 23:18:40 -03; Group 2; result-77f68799c4-2p4sr; 020.607
sex 24 fev 2023 23:19:01 -03; Group 2; result-77f68799c4-2p4sr; 020.632
sex 24 fev 2023 23:19:22 -03; Group 2; result-77f68799c4-2p4sr; 020.641
