Data; Group; Nome_POD; PING
sex 24 fev 2023 22:22:07 -03; Group 2; vote-79787c6c8b-dbn8r; 17.19
sex 24 fev 2023 22:22:25 -03; Group 2; vote-79787c6c8b-dbn8r; 17.15
sex 24 fev 2023 22:22:42 -03; Group 2; vote-79787c6c8b-dbn8r; 17.18
sex 24 fev 2023 22:23:00 -03; Group 2; vote-79787c6c8b-dbn8r; 17.16
sex 24 fev 2023 22:23:17 -03; Group 2; vote-79787c6c8b-dbn8r; 17.15
sex 24 fev 2023 22:23:35 -03; Group 2; vote-79787c6c8b-dbn8r; 17.20
sex 24 fev 2023 22:23:53 -03; Group 2; vote-79787c6c8b-dbn8r; 17.20
sex 24 fev 2023 22:24:10 -03; Group 2; vote-79787c6c8b-dbn8r; 17.19
sex 24 fev 2023 22:24:28 -03; Group 2; vote-79787c6c8b-dbn8r; 17.18
sex 24 fev 2023 22:24:45 -03; Group 2; vote-79787c6c8b-dbn8r; 17.19
sex 24 fev 2023 22:25:03 -03; Group 2; vote-79787c6c8b-dbn8r; 17.21
sex 24 fev 2023 22:25:21 -03; Group 2; vote-79787c6c8b-dbn8r; 17.20
sex 24 fev 2023 22:25:38 -03; Group 2; vote-79787c6c8b-dbn8r; 17.18
sex 24 fev 2023 22:25:56 -03; Group 2; vote-79787c6c8b-dbn8r; 17.19
sex 24 fev 2023 22:26:13 -03; Group 2; vote-79787c6c8b-dbn8r; 17.15
sex 24 fev 2023 22:26:31 -03; Group 2; vote-79787c6c8b-dbn8r; 17.19
sex 24 fev 2023 22:26:49 -03; Group 2; vote-79787c6c8b-dbn8r; 17.20
sex 24 fev 2023 22:27:06 -03; Group 2; vote-79787c6c8b-dbn8r; 17.17
sex 24 fev 2023 22:27:24 -03; Group 2; vote-79787c6c8b-dbn8r; 17.16
sex 24 fev 2023 22:27:41 -03; Group 2; vote-79787c6c8b-dbn8r; 17.16
sex 24 fev 2023 22:27:59 -03; Group 2; vote-79787c6c8b-dbn8r; 17.17
sex 24 fev 2023 22:28:16 -03; Group 2; vote-79787c6c8b-dbn8r; 17.16
sex 24 fev 2023 22:28:34 -03; Group 2; vote-79787c6c8b-dbn8r; 17.16
sex 24 fev 2023 22:28:51 -03; Group 2; vote-79787c6c8b-dbn8r; 17.16
sex 24 fev 2023 22:29:09 -03; Group 2; vote-79787c6c8b-dbn8r; 17.15
sex 24 fev 2023 22:29:27 -03; Group 2; vote-79787c6c8b-dbn8r; 17.18
sex 24 fev 2023 22:29:44 -03; Group 2; vote-79787c6c8b-dbn8r; 17.22
sex 24 fev 2023 22:30:02 -03; Group 2; vote-79787c6c8b-dbn8r; 17.20
sex 24 fev 2023 22:30:20 -03; Group 2; vote-79787c6c8b-dbn8r; 17.20
sex 24 fev 2023 22:30:37 -03; Group 2; vote-79787c6c8b-dbn8r; 17.18
