Data; Group; Nome_POD; CURL
sáb 25 fev 2023 23:56:39 -03; Group 2; db-684b9b49fd-m6zb8; 020.654
sáb 25 fev 2023 23:57:00 -03; Group 2; db-684b9b49fd-m6zb8; 020.637
sáb 25 fev 2023 23:57:21 -03; Group 2; db-684b9b49fd-m6zb8; 020.627
sáb 25 fev 2023 23:57:42 -03; Group 2; db-684b9b49fd-m6zb8; 020.646
sáb 25 fev 2023 23:58:03 -03; Group 2; db-684b9b49fd-m6zb8; 020.649
sáb 25 fev 2023 23:58:24 -03; Group 2; db-684b9b49fd-m6zb8; 020.667
sáb 25 fev 2023 23:58:45 -03; Group 2; db-684b9b49fd-m6zb8; 020.649
sáb 25 fev 2023 23:59:06 -03; Group 2; db-684b9b49fd-m6zb8; 020.599
sáb 25 fev 2023 23:59:27 -03; Group 2; db-684b9b49fd-m6zb8; 020.597
sáb 25 fev 2023 23:59:48 -03; Group 2; db-684b9b49fd-m6zb8; 020.608
dom 26 fev 2023 00:00:09 -03; Group 2; db-684b9b49fd-m6zb8; 020.572
dom 26 fev 2023 00:00:30 -03; Group 2; db-684b9b49fd-m6zb8; 020.641
dom 26 fev 2023 00:00:51 -03; Group 2; db-684b9b49fd-m6zb8; 020.653
dom 26 fev 2023 00:01:12 -03; Group 2; db-684b9b49fd-m6zb8; 020.659
dom 26 fev 2023 00:01:33 -03; Group 2; db-684b9b49fd-m6zb8; 020.627
dom 26 fev 2023 00:01:54 -03; Group 2; db-684b9b49fd-m6zb8; 020.691
dom 26 fev 2023 00:02:15 -03; Group 2; db-684b9b49fd-m6zb8; 020.625
dom 26 fev 2023 00:02:36 -03; Group 2; db-684b9b49fd-m6zb8; 020.622
dom 26 fev 2023 00:02:57 -03; Group 2; db-684b9b49fd-m6zb8; 020.609
dom 26 fev 2023 00:03:18 -03; Group 2; db-684b9b49fd-m6zb8; 020.619
dom 26 fev 2023 00:03:39 -03; Group 2; db-684b9b49fd-m6zb8; 020.652
dom 26 fev 2023 00:04:00 -03; Group 2; db-684b9b49fd-m6zb8; 020.636
dom 26 fev 2023 00:04:21 -03; Group 2; db-684b9b49fd-m6zb8; 020.597
dom 26 fev 2023 00:04:42 -03; Group 2; db-684b9b49fd-m6zb8; 020.638
dom 26 fev 2023 00:05:03 -03; Group 2; db-684b9b49fd-m6zb8; 020.615
dom 26 fev 2023 00:05:24 -03; Group 2; db-684b9b49fd-m6zb8; 020.600
dom 26 fev 2023 00:05:45 -03; Group 2; db-684b9b49fd-m6zb8; 020.629
dom 26 fev 2023 00:06:06 -03; Group 2; db-684b9b49fd-m6zb8; 020.596
dom 26 fev 2023 00:06:27 -03; Group 2; db-684b9b49fd-m6zb8; 020.606
dom 26 fev 2023 00:06:49 -03; Group 2; db-684b9b49fd-m6zb8; 020.655
