Data; Group; Nome_POD; CURL
dom 26 fev 2023 00:20:07 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:12 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:18 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:23 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:29 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:20:34 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:39 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:45 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:50 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:20:56 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:21:01 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:21:06 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:21:12 -03; Group 2; vote-79787c6c8b-5z79m; 05.00
dom 26 fev 2023 00:21:17 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:21:23 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:21:28 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:21:34 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:21:39 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:21:44 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:21:50 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:21:55 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:22:01 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:22:06 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:22:11 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:22:17 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:22:22 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:22:28 -03; Group 2; vote-79787c6c8b-5z79m; 05.02
dom 26 fev 2023 00:22:33 -03; Group 2; vote-79787c6c8b-5z79m; 05.00
dom 26 fev 2023 00:22:39 -03; Group 2; vote-79787c6c8b-5z79m; 05.01
dom 26 fev 2023 00:22:44 -03; Group 2; vote-79787c6c8b-5z79m; 05.03
