Data; Group; Nome_POD; CURL
dom 26 fev 2023 00:22:45 -03; Group 2; worker-78b9ff59fc-shzk5; 00.330
dom 26 fev 2023 00:22:45 -03; Group 2; worker-78b9ff59fc-shzk5; 00.299
dom 26 fev 2023 00:22:46 -03; Group 2; worker-78b9ff59fc-shzk5; 00.331
dom 26 fev 2023 00:22:47 -03; Group 2; worker-78b9ff59fc-shzk5; 00.321
dom 26 fev 2023 00:22:48 -03; Group 2; worker-78b9ff59fc-shzk5; 00.336
dom 26 fev 2023 00:22:48 -03; Group 2; worker-78b9ff59fc-shzk5; 00.291
dom 26 fev 2023 00:22:49 -03; Group 2; worker-78b9ff59fc-shzk5; 00.311
dom 26 fev 2023 00:22:50 -03; Group 2; worker-78b9ff59fc-shzk5; 00.310
dom 26 fev 2023 00:22:50 -03; Group 2; worker-78b9ff59fc-shzk5; 00.322
dom 26 fev 2023 00:22:51 -03; Group 2; worker-78b9ff59fc-shzk5; 00.317
dom 26 fev 2023 00:22:52 -03; Group 2; worker-78b9ff59fc-shzk5; 00.313
dom 26 fev 2023 00:22:53 -03; Group 2; worker-78b9ff59fc-shzk5; 00.311
dom 26 fev 2023 00:22:53 -03; Group 2; worker-78b9ff59fc-shzk5; 00.306
dom 26 fev 2023 00:22:54 -03; Group 2; worker-78b9ff59fc-shzk5; 00.301
dom 26 fev 2023 00:22:55 -03; Group 2; worker-78b9ff59fc-shzk5; 00.297
dom 26 fev 2023 00:22:55 -03; Group 2; worker-78b9ff59fc-shzk5; 00.281
dom 26 fev 2023 00:22:56 -03; Group 2; worker-78b9ff59fc-shzk5; 00.303
dom 26 fev 2023 00:22:57 -03; Group 2; worker-78b9ff59fc-shzk5; 00.298
dom 26 fev 2023 00:22:57 -03; Group 2; worker-78b9ff59fc-shzk5; 00.284
dom 26 fev 2023 00:22:58 -03; Group 2; worker-78b9ff59fc-shzk5; 00.327
dom 26 fev 2023 00:22:59 -03; Group 2; worker-78b9ff59fc-shzk5; 00.303
dom 26 fev 2023 00:22:59 -03; Group 2; worker-78b9ff59fc-shzk5; 00.319
dom 26 fev 2023 00:23:00 -03; Group 2; worker-78b9ff59fc-shzk5; 00.345
dom 26 fev 2023 00:23:01 -03; Group 2; worker-78b9ff59fc-shzk5; 00.298
dom 26 fev 2023 00:23:02 -03; Group 2; worker-78b9ff59fc-shzk5; 00.332
dom 26 fev 2023 00:23:02 -03; Group 2; worker-78b9ff59fc-shzk5; 00.294
dom 26 fev 2023 00:23:03 -03; Group 2; worker-78b9ff59fc-shzk5; 00.291
dom 26 fev 2023 00:23:04 -03; Group 2; worker-78b9ff59fc-shzk5; 00.333
dom 26 fev 2023 00:23:04 -03; Group 2; worker-78b9ff59fc-shzk5; 00.321
dom 26 fev 2023 00:23:05 -03; Group 2; worker-78b9ff59fc-shzk5; 00.619
