Data; Group; Nome_POD; PING
dom 26 fev 2023 01:08:09 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:08:26 -03; Group 2; redis-67db9bd79b-dxqz2; 17.16
dom 26 fev 2023 01:08:44 -03; Group 2; redis-67db9bd79b-dxqz2; 17.21
dom 26 fev 2023 01:09:02 -03; Group 2; redis-67db9bd79b-dxqz2; 17.14
dom 26 fev 2023 01:09:19 -03; Group 2; redis-67db9bd79b-dxqz2; 17.16
dom 26 fev 2023 01:09:37 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:09:54 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:10:12 -03; Group 2; redis-67db9bd79b-dxqz2; 17.14
dom 26 fev 2023 01:10:30 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:10:47 -03; Group 2; redis-67db9bd79b-dxqz2; 17.16
dom 26 fev 2023 01:11:05 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:11:22 -03; Group 2; redis-67db9bd79b-dxqz2; 17.15
dom 26 fev 2023 01:11:40 -03; Group 2; redis-67db9bd79b-dxqz2; 17.16
dom 26 fev 2023 01:11:57 -03; Group 2; redis-67db9bd79b-dxqz2; 17.17
dom 26 fev 2023 01:12:15 -03; Group 2; redis-67db9bd79b-dxqz2; 17.18
dom 26 fev 2023 01:12:33 -03; Group 2; redis-67db9bd79b-dxqz2; 17.17
dom 26 fev 2023 01:12:50 -03; Group 2; redis-67db9bd79b-dxqz2; 17.14
dom 26 fev 2023 01:13:08 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:13:25 -03; Group 2; redis-67db9bd79b-dxqz2; 17.15
dom 26 fev 2023 01:13:43 -03; Group 2; redis-67db9bd79b-dxqz2; 17.19
dom 26 fev 2023 01:14:01 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:14:18 -03; Group 2; redis-67db9bd79b-dxqz2; 17.20
dom 26 fev 2023 01:14:36 -03; Group 2; redis-67db9bd79b-dxqz2; 17.19
dom 26 fev 2023 01:14:53 -03; Group 2; redis-67db9bd79b-dxqz2; 17.15
dom 26 fev 2023 01:15:11 -03; Group 2; redis-67db9bd79b-dxqz2; 17.16
dom 26 fev 2023 01:15:28 -03; Group 2; redis-67db9bd79b-dxqz2; 17.14
dom 26 fev 2023 01:15:46 -03; Group 2; redis-67db9bd79b-dxqz2; 17.16
dom 26 fev 2023 01:16:03 -03; Group 2; redis-67db9bd79b-dxqz2; 17.15
dom 26 fev 2023 01:16:21 -03; Group 2; redis-67db9bd79b-dxqz2; 17.18
dom 26 fev 2023 01:16:39 -03; Group 2; redis-67db9bd79b-dxqz2; 17.15
