Data; Group; Nome_POD; WGET
sáb 25 fev 2023 23:29:38 -03; Group 2; db-684b9b49fd-m6zb8; 020.033
sáb 25 fev 2023 23:29:58 -03; Group 2; db-684b9b49fd-m6zb8; 020.053
sáb 25 fev 2023 23:30:19 -03; Group 2; db-684b9b49fd-m6zb8; 020.042
sáb 25 fev 2023 23:30:39 -03; Group 2; db-684b9b49fd-m6zb8; 020.036
sáb 25 fev 2023 23:30:59 -03; Group 2; db-684b9b49fd-m6zb8; 020.033
sáb 25 fev 2023 23:31:20 -03; Group 2; db-684b9b49fd-m6zb8; 020.038
sáb 25 fev 2023 23:31:40 -03; Group 2; db-684b9b49fd-m6zb8; 020.031
sáb 25 fev 2023 23:32:01 -03; Group 2; db-684b9b49fd-m6zb8; 020.034
sáb 25 fev 2023 23:32:21 -03; Group 2; db-684b9b49fd-m6zb8; 020.034
sáb 25 fev 2023 23:32:42 -03; Group 2; db-684b9b49fd-m6zb8; 020.036
sáb 25 fev 2023 23:33:02 -03; Group 2; db-684b9b49fd-m6zb8; 020.038
sáb 25 fev 2023 23:33:22 -03; Group 2; db-684b9b49fd-m6zb8; 020.040
sáb 25 fev 2023 23:33:43 -03; Group 2; db-684b9b49fd-m6zb8; 020.033
sáb 25 fev 2023 23:34:03 -03; Group 2; db-684b9b49fd-m6zb8; 020.033
sáb 25 fev 2023 23:34:24 -03; Group 2; db-684b9b49fd-m6zb8; 020.033
sáb 25 fev 2023 23:34:44 -03; Group 2; db-684b9b49fd-m6zb8; 020.031
sáb 25 fev 2023 23:35:05 -03; Group 2; db-684b9b49fd-m6zb8; 020.040
sáb 25 fev 2023 23:35:25 -03; Group 2; db-684b9b49fd-m6zb8; 020.036
sáb 25 fev 2023 23:35:45 -03; Group 2; db-684b9b49fd-m6zb8; 020.038
sáb 25 fev 2023 23:36:06 -03; Group 2; db-684b9b49fd-m6zb8; 020.033
sáb 25 fev 2023 23:36:26 -03; Group 2; db-684b9b49fd-m6zb8; 020.032
sáb 25 fev 2023 23:36:47 -03; Group 2; db-684b9b49fd-m6zb8; 020.038
sáb 25 fev 2023 23:37:07 -03; Group 2; db-684b9b49fd-m6zb8; 020.047
sáb 25 fev 2023 23:37:28 -03; Group 2; db-684b9b49fd-m6zb8; 020.038
sáb 25 fev 2023 23:37:48 -03; Group 2; db-684b9b49fd-m6zb8; 020.039
sáb 25 fev 2023 23:38:08 -03; Group 2; db-684b9b49fd-m6zb8; 020.028
sáb 25 fev 2023 23:38:29 -03; Group 2; db-684b9b49fd-m6zb8; 020.034
sáb 25 fev 2023 23:38:49 -03; Group 2; db-684b9b49fd-m6zb8; 020.036
sáb 25 fev 2023 23:39:10 -03; Group 2; db-684b9b49fd-m6zb8; 020.029
sáb 25 fev 2023 23:39:30 -03; Group 2; db-684b9b49fd-m6zb8; 020.039
