Data; Group; Nome_POD; PING
seg 27 fev 2023 08:49:42 -03; Group 2; redis-67db9bd79b-6v9ng; 17.15
seg 27 fev 2023 08:49:59 -03; Group 2; redis-67db9bd79b-6v9ng; 17.19
seg 27 fev 2023 08:50:17 -03; Group 2; redis-67db9bd79b-6v9ng; 17.16
seg 27 fev 2023 08:50:35 -03; Group 2; redis-67db9bd79b-6v9ng; 17.17
seg 27 fev 2023 08:50:52 -03; Group 2; redis-67db9bd79b-6v9ng; 17.21
seg 27 fev 2023 08:51:10 -03; Group 2; redis-67db9bd79b-6v9ng; 17.22
seg 27 fev 2023 08:51:28 -03; Group 2; redis-67db9bd79b-6v9ng; 17.19
seg 27 fev 2023 08:51:45 -03; Group 2; redis-67db9bd79b-6v9ng; 17.17
seg 27 fev 2023 08:52:03 -03; Group 2; redis-67db9bd79b-6v9ng; 17.15
seg 27 fev 2023 08:52:20 -03; Group 2; redis-67db9bd79b-6v9ng; 17.18
seg 27 fev 2023 08:52:38 -03; Group 2; redis-67db9bd79b-6v9ng; 17.19
seg 27 fev 2023 08:52:56 -03; Group 2; redis-67db9bd79b-6v9ng; 17.18
seg 27 fev 2023 08:53:13 -03; Group 2; redis-67db9bd79b-6v9ng; 17.15
seg 27 fev 2023 08:53:31 -03; Group 2; redis-67db9bd79b-6v9ng; 17.17
seg 27 fev 2023 08:53:48 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
seg 27 fev 2023 08:54:06 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
seg 27 fev 2023 08:54:23 -03; Group 2; redis-67db9bd79b-6v9ng; 17.18
seg 27 fev 2023 08:54:41 -03; Group 2; redis-67db9bd79b-6v9ng; 17.18
seg 27 fev 2023 08:54:59 -03; Group 2; redis-67db9bd79b-6v9ng; 17.15
seg 27 fev 2023 08:55:16 -03; Group 2; redis-67db9bd79b-6v9ng; 17.17
seg 27 fev 2023 08:55:34 -03; Group 2; redis-67db9bd79b-6v9ng; 17.19
seg 27 fev 2023 08:55:51 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
seg 27 fev 2023 08:56:09 -03; Group 2; redis-67db9bd79b-6v9ng; 17.18
seg 27 fev 2023 08:56:27 -03; Group 2; redis-67db9bd79b-6v9ng; 17.16
seg 27 fev 2023 08:56:44 -03; Group 2; redis-67db9bd79b-6v9ng; 17.15
seg 27 fev 2023 08:57:02 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
seg 27 fev 2023 08:57:19 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
seg 27 fev 2023 08:57:37 -03; Group 2; redis-67db9bd79b-6v9ng; 17.15
seg 27 fev 2023 08:57:54 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
seg 27 fev 2023 08:58:12 -03; Group 2; redis-67db9bd79b-6v9ng; 17.20
