Data; Group; Nome_POD; PING
seg 27 fev 2023 08:58:31 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 08:58:49 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 08:59:07 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 08:59:26 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 08:59:44 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:00:03 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:00:21 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:00:40 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:00:58 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:01:17 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:01:35 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:01:53 -03; Group 2; result-77f68799c4-kbc42; 018.03
seg 27 fev 2023 09:02:12 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:02:30 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:02:49 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:03:07 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:03:25 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:03:44 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:04:02 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:04:21 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:04:39 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:04:58 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:05:16 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:05:34 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:05:53 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:06:11 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:06:30 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:06:48 -03; Group 2; result-77f68799c4-kbc42; 018.02
seg 27 fev 2023 09:07:07 -03; Group 2; result-77f68799c4-kbc42; 018.01
seg 27 fev 2023 09:07:25 -03; Group 2; result-77f68799c4-kbc42; 018.02
