Data; Group; Nome_POD; WGET
seg 27 fev 2023 10:40:11 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:40:16 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:40:22 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:40:27 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:40:33 -03; Group 2; vote-79787c6c8b-kb9gv; 05.03
seg 27 fev 2023 10:40:38 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:40:43 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:40:49 -03; Group 2; vote-79787c6c8b-kb9gv; 05.03
seg 27 fev 2023 10:40:54 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:00 -03; Group 2; vote-79787c6c8b-kb9gv; 05.03
seg 27 fev 2023 10:41:05 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:11 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:16 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:22 -03; Group 2; vote-79787c6c8b-kb9gv; 05.03
seg 27 fev 2023 10:41:27 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:32 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:38 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:43 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:49 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:41:54 -03; Group 2; vote-79787c6c8b-kb9gv; 05.03
seg 27 fev 2023 10:42:00 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:05 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:11 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:16 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:21 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:27 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:32 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
seg 27 fev 2023 10:42:38 -03; Group 2; vote-79787c6c8b-kb9gv; 05.03
seg 27 fev 2023 10:42:43 -03; Group 2; vote-79787c6c8b-kb9gv; 05.04
seg 27 fev 2023 10:42:48 -03; Group 2; vote-79787c6c8b-kb9gv; 05.02
