Data; Group; Nome_POD; APT
ter 28 fev 2023 00:05:42 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.604
ter 28 fev 2023 00:05:44 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.467
ter 28 fev 2023 00:05:46 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.503
ter 28 fev 2023 00:05:47 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.420
ter 28 fev 2023 00:05:49 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.436
ter 28 fev 2023 00:05:51 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.757
ter 28 fev 2023 00:05:53 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.536
ter 28 fev 2023 00:05:55 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.487
ter 28 fev 2023 00:05:57 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.503
ter 28 fev 2023 00:05:59 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.476
ter 28 fev 2023 00:06:01 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.787
ter 28 fev 2023 00:06:03 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.569
ter 28 fev 2023 00:06:05 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.592
ter 28 fev 2023 00:06:07 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.502
ter 28 fev 2023 00:06:09 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.490
ter 28 fev 2023 00:06:11 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.652
ter 28 fev 2023 00:06:13 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.561
ter 28 fev 2023 00:06:15 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.518
ter 28 fev 2023 00:06:17 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.615
ter 28 fev 2023 00:06:19 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.586
ter 28 fev 2023 00:06:21 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.697
ter 28 fev 2023 00:06:23 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.564
ter 28 fev 2023 00:06:25 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.510
ter 28 fev 2023 00:06:27 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.516
ter 28 fev 2023 00:06:29 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.546
ter 28 fev 2023 00:06:31 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.734
ter 28 fev 2023 00:06:33 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.634
ter 28 fev 2023 00:06:35 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.453
ter 28 fev 2023 00:06:37 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.632
ter 28 fev 2023 00:06:39 -03; Group 2; worker-78b9ff59fc-7gcc6; 01.475
