Data; Group; Nome_POD; CURL
seg 27 fev 2023 20:46:08 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:14 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:19 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:25 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:30 -03; Group 2; redis-67db9bd79b-6v9ng; 05.02
seg 27 fev 2023 20:46:35 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:41 -03; Group 2; redis-67db9bd79b-6v9ng; 05.02
seg 27 fev 2023 20:46:46 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:52 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:46:57 -03; Group 2; redis-67db9bd79b-6v9ng; 05.00
seg 27 fev 2023 20:47:03 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:08 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:13 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:19 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:24 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:30 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:35 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:41 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:46 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:47:51 -03; Group 2; redis-67db9bd79b-6v9ng; 05.02
seg 27 fev 2023 20:47:57 -03; Group 2; redis-67db9bd79b-6v9ng; 05.02
seg 27 fev 2023 20:48:02 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:08 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:13 -03; Group 2; redis-67db9bd79b-6v9ng; 05.02
seg 27 fev 2023 20:48:19 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:24 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:29 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:35 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:40 -03; Group 2; redis-67db9bd79b-6v9ng; 05.01
seg 27 fev 2023 20:48:46 -03; Group 2; redis-67db9bd79b-6v9ng; 05.02
