Data; Group; Nome_POD; PING
seg 27 fev 2023 21:04:16 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:04:34 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:04:53 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:05:11 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:05:30 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:05:48 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:06:07 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:06:25 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:06:43 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:07:02 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:07:20 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:07:39 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:07:57 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:08:16 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:08:34 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:08:53 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:09:11 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:09:29 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:09:48 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:10:06 -03; Group 2; db-684b9b49fd-bnrfq; 018.03
seg 27 fev 2023 21:10:25 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:10:43 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:11:01 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:11:20 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:11:38 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
seg 27 fev 2023 21:11:57 -03; Group 2; db-684b9b49fd-bnrfq; 018.06
seg 27 fev 2023 21:12:15 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:12:34 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:12:52 -03; Group 2; db-684b9b49fd-bnrfq; 018.02
seg 27 fev 2023 21:13:11 -03; Group 2; db-684b9b49fd-bnrfq; 018.01
