Data; Group; Nome_POD; APT
ter 28 fev 2023 20:32:03 -03; Group 2; db-684b9b49fd-whqgb; 21.192
ter 28 fev 2023 20:34:05 -03; Group 2; db-684b9b49fd-whqgb; 21.131
ter 28 fev 2023 20:36:06 -03; Group 2; db-684b9b49fd-whqgb; 21.162
ter 28 fev 2023 20:38:08 -03; Group 2; db-684b9b49fd-whqgb; 21.138
ter 28 fev 2023 20:40:10 -03; Group 2; db-684b9b49fd-whqgb; 21.147
ter 28 fev 2023 20:42:11 -03; Group 2; db-684b9b49fd-whqgb; 21.101
ter 28 fev 2023 20:44:13 -03; Group 2; db-684b9b49fd-whqgb; 21.138
ter 28 fev 2023 20:46:14 -03; Group 2; db-684b9b49fd-whqgb; 21.255
ter 28 fev 2023 20:48:16 -03; Group 2; db-684b9b49fd-whqgb; 21.191
ter 28 fev 2023 20:50:18 -03; Group 2; db-684b9b49fd-whqgb; 21.165
ter 28 fev 2023 20:52:19 -03; Group 2; db-684b9b49fd-whqgb; 21.128
ter 28 fev 2023 20:54:21 -03; Group 2; db-684b9b49fd-whqgb; 21.108
ter 28 fev 2023 20:56:22 -03; Group 2; db-684b9b49fd-whqgb; 21.151
ter 28 fev 2023 20:58:24 -03; Group 2; db-684b9b49fd-whqgb; 21.148
ter 28 fev 2023 21:00:26 -03; Group 2; db-684b9b49fd-whqgb; 21.373
ter 28 fev 2023 21:02:27 -03; Group 2; db-684b9b49fd-whqgb; 21.207
ter 28 fev 2023 21:04:29 -03; Group 2; db-684b9b49fd-whqgb; 21.145
ter 28 fev 2023 21:06:30 -03; Group 2; db-684b9b49fd-whqgb; 21.196
ter 28 fev 2023 21:08:32 -03; Group 2; db-684b9b49fd-whqgb; 21.100
ter 28 fev 2023 21:10:34 -03; Group 2; db-684b9b49fd-whqgb; 21.154
ter 28 fev 2023 21:12:35 -03; Group 2; db-684b9b49fd-whqgb; 21.314
ter 28 fev 2023 21:14:37 -03; Group 2; db-684b9b49fd-whqgb; 21.241
ter 28 fev 2023 21:16:39 -03; Group 2; db-684b9b49fd-whqgb; 21.178
ter 28 fev 2023 21:18:40 -03; Group 2; db-684b9b49fd-whqgb; 21.256
ter 28 fev 2023 21:20:42 -03; Group 2; db-684b9b49fd-whqgb; 21.192
ter 28 fev 2023 21:22:44 -03; Group 2; db-684b9b49fd-whqgb; 21.089
ter 28 fev 2023 21:24:45 -03; Group 2; db-684b9b49fd-whqgb; 21.498
ter 28 fev 2023 21:26:47 -03; Group 2; db-684b9b49fd-whqgb; 21.143
ter 28 fev 2023 21:28:49 -03; Group 2; db-684b9b49fd-whqgb; 21.136
ter 28 fev 2023 21:30:50 -03; Group 2; db-684b9b49fd-whqgb; 21.148
