Data; Group; Nome_POD; APT
ter 28 fev 2023 21:38:17 -03; Group 2; result-77f68799c4-4gzjs; 21.218
ter 28 fev 2023 21:40:19 -03; Group 2; result-77f68799c4-4gzjs; 21.142
ter 28 fev 2023 21:42:20 -03; Group 2; result-77f68799c4-4gzjs; 21.147
ter 28 fev 2023 21:44:22 -03; Group 2; result-77f68799c4-4gzjs; 21.115
ter 28 fev 2023 21:46:24 -03; Group 2; result-77f68799c4-4gzjs; 21.166
ter 28 fev 2023 21:48:25 -03; Group 2; result-77f68799c4-4gzjs; 21.496
ter 28 fev 2023 21:50:27 -03; Group 2; result-77f68799c4-4gzjs; 21.171
ter 28 fev 2023 21:52:29 -03; Group 2; result-77f68799c4-4gzjs; 21.116
ter 28 fev 2023 21:54:30 -03; Group 2; result-77f68799c4-4gzjs; 21.173
ter 28 fev 2023 21:56:32 -03; Group 2; result-77f68799c4-4gzjs; 21.157
ter 28 fev 2023 21:58:33 -03; Group 2; result-77f68799c4-4gzjs; 21.120
ter 28 fev 2023 22:00:35 -03; Group 2; result-77f68799c4-4gzjs; 21.352
ter 28 fev 2023 22:02:37 -03; Group 2; result-77f68799c4-4gzjs; 21.110
ter 28 fev 2023 22:04:38 -03; Group 2; result-77f68799c4-4gzjs; 21.184
ter 28 fev 2023 22:06:40 -03; Group 2; result-77f68799c4-4gzjs; 21.109
ter 28 fev 2023 22:08:41 -03; Group 2; result-77f68799c4-4gzjs; 21.152
ter 28 fev 2023 22:10:43 -03; Group 2; result-77f68799c4-4gzjs; 21.112
ter 28 fev 2023 22:12:45 -03; Group 2; result-77f68799c4-4gzjs; 21.150
ter 28 fev 2023 22:14:46 -03; Group 2; result-77f68799c4-4gzjs; 21.255
ter 28 fev 2023 22:16:48 -03; Group 2; result-77f68799c4-4gzjs; 21.113
ter 28 fev 2023 22:18:49 -03; Group 2; result-77f68799c4-4gzjs; 21.110
ter 28 fev 2023 22:20:51 -03; Group 2; result-77f68799c4-4gzjs; 21.180
ter 28 fev 2023 22:22:53 -03; Group 2; result-77f68799c4-4gzjs; 21.134
ter 28 fev 2023 22:24:54 -03; Group 2; result-77f68799c4-4gzjs; 21.136
ter 28 fev 2023 22:26:56 -03; Group 2; result-77f68799c4-4gzjs; 21.297
ter 28 fev 2023 22:28:57 -03; Group 2; result-77f68799c4-4gzjs; 21.081
ter 28 fev 2023 22:30:59 -03; Group 2; result-77f68799c4-4gzjs; 21.137
ter 28 fev 2023 22:33:01 -03; Group 2; result-77f68799c4-4gzjs; 21.186
ter 28 fev 2023 22:35:02 -03; Group 2; result-77f68799c4-4gzjs; 21.164
ter 28 fev 2023 22:37:04 -03; Group 2; result-77f68799c4-4gzjs; 21.206
