Data; Group; Nome_POD; CURL
ter 28 fev 2023 23:56:31 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:56:36 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:56:41 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:56:47 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:56:52 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:56:58 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:03 -03; Group 2; redis-67db9bd79b-cp5zn; 05.00
ter 28 fev 2023 23:57:08 -03; Group 2; redis-67db9bd79b-cp5zn; 05.02
ter 28 fev 2023 23:57:14 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:19 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:25 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:30 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:36 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:41 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:47 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:52 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:57:57 -03; Group 2; redis-67db9bd79b-cp5zn; 05.02
ter 28 fev 2023 23:58:03 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:08 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:13 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:19 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:24 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:30 -03; Group 2; redis-67db9bd79b-cp5zn; 05.02
ter 28 fev 2023 23:58:35 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:40 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:46 -03; Group 2; redis-67db9bd79b-cp5zn; 05.03
ter 28 fev 2023 23:58:51 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:58:57 -03; Group 2; redis-67db9bd79b-cp5zn; 05.01
ter 28 fev 2023 23:59:02 -03; Group 2; redis-67db9bd79b-cp5zn; 05.02
ter 28 fev 2023 23:59:08 -03; Group 2; redis-67db9bd79b-cp5zn; 05.03
