Data,Group,Nome_POD,PING
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.03
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.03
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.04
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.01
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,db-684b9b49fd-whqgb,018.02
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.15
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.16
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.21
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.19
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.21
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.18
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.16
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.19
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.20
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.18
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.18
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.15
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.18
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.15
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.16
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.20
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.21
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.16
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.19
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.20
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.20
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.18
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.17
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.17
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.17
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.17
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.19
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.20
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.15
01-03-2023,Group 2,redis-67db9bd79b-cp5zn,17.14
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.01
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.01
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.02
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.01
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.01
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.02
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.02
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.02
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.03
01-03-2023,Group 2,result-77f68799c4-4gzjs,018.01
