Data; Group; Nome_POD; PING
qua 01 mar 2023 00:46:53 -03; Group 2; redis-67db9bd79b-cp5zn; 17.15
qua 01 mar 2023 00:47:10 -03; Group 2; redis-67db9bd79b-cp5zn; 17.16
qua 01 mar 2023 00:47:28 -03; Group 2; redis-67db9bd79b-cp5zn; 17.21
qua 01 mar 2023 00:47:46 -03; Group 2; redis-67db9bd79b-cp5zn; 17.19
qua 01 mar 2023 00:48:03 -03; Group 2; redis-67db9bd79b-cp5zn; 17.21
qua 01 mar 2023 00:48:21 -03; Group 2; redis-67db9bd79b-cp5zn; 17.18
qua 01 mar 2023 00:48:38 -03; Group 2; redis-67db9bd79b-cp5zn; 17.16
qua 01 mar 2023 00:48:56 -03; Group 2; redis-67db9bd79b-cp5zn; 17.19
qua 01 mar 2023 00:49:14 -03; Group 2; redis-67db9bd79b-cp5zn; 17.20
qua 01 mar 2023 00:49:31 -03; Group 2; redis-67db9bd79b-cp5zn; 17.18
qua 01 mar 2023 00:49:49 -03; Group 2; redis-67db9bd79b-cp5zn; 17.18
qua 01 mar 2023 00:50:06 -03; Group 2; redis-67db9bd79b-cp5zn; 17.15
qua 01 mar 2023 00:50:24 -03; Group 2; redis-67db9bd79b-cp5zn; 17.18
qua 01 mar 2023 00:50:42 -03; Group 2; redis-67db9bd79b-cp5zn; 17.15
qua 01 mar 2023 00:50:59 -03; Group 2; redis-67db9bd79b-cp5zn; 17.16
qua 01 mar 2023 00:51:17 -03; Group 2; redis-67db9bd79b-cp5zn; 17.20
qua 01 mar 2023 00:51:34 -03; Group 2; redis-67db9bd79b-cp5zn; 17.21
qua 01 mar 2023 00:51:52 -03; Group 2; redis-67db9bd79b-cp5zn; 17.16
qua 01 mar 2023 00:52:10 -03; Group 2; redis-67db9bd79b-cp5zn; 17.19
qua 01 mar 2023 00:52:27 -03; Group 2; redis-67db9bd79b-cp5zn; 17.20
qua 01 mar 2023 00:52:45 -03; Group 2; redis-67db9bd79b-cp5zn; 17.20
qua 01 mar 2023 00:53:02 -03; Group 2; redis-67db9bd79b-cp5zn; 17.18
qua 01 mar 2023 00:53:20 -03; Group 2; redis-67db9bd79b-cp5zn; 17.17
qua 01 mar 2023 00:53:38 -03; Group 2; redis-67db9bd79b-cp5zn; 17.17
qua 01 mar 2023 00:53:55 -03; Group 2; redis-67db9bd79b-cp5zn; 17.17
qua 01 mar 2023 00:54:13 -03; Group 2; redis-67db9bd79b-cp5zn; 17.17
qua 01 mar 2023 00:54:30 -03; Group 2; redis-67db9bd79b-cp5zn; 17.19
qua 01 mar 2023 00:54:48 -03; Group 2; redis-67db9bd79b-cp5zn; 17.20
qua 01 mar 2023 00:55:05 -03; Group 2; redis-67db9bd79b-cp5zn; 17.15
qua 01 mar 2023 00:55:23 -03; Group 2; redis-67db9bd79b-cp5zn; 17.14
