Data; Group; Nome_POD; PING
qua 01 mar 2023 01:04:54 -03; Group 2; vote-79787c6c8b-kw5cn; 17.17
qua 01 mar 2023 01:05:11 -03; Group 2; vote-79787c6c8b-kw5cn; 17.17
qua 01 mar 2023 01:05:29 -03; Group 2; vote-79787c6c8b-kw5cn; 17.21
qua 01 mar 2023 01:05:46 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:06:04 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:06:22 -03; Group 2; vote-79787c6c8b-kw5cn; 17.19
qua 01 mar 2023 01:06:39 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:06:57 -03; Group 2; vote-79787c6c8b-kw5cn; 17.18
qua 01 mar 2023 01:07:14 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:07:32 -03; Group 2; vote-79787c6c8b-kw5cn; 17.16
qua 01 mar 2023 01:07:49 -03; Group 2; vote-79787c6c8b-kw5cn; 17.16
qua 01 mar 2023 01:08:07 -03; Group 2; vote-79787c6c8b-kw5cn; 17.21
qua 01 mar 2023 01:08:25 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:08:42 -03; Group 2; vote-79787c6c8b-kw5cn; 17.17
qua 01 mar 2023 01:09:00 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:09:17 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:09:35 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:09:53 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:10:10 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:10:28 -03; Group 2; vote-79787c6c8b-kw5cn; 17.19
qua 01 mar 2023 01:10:45 -03; Group 2; vote-79787c6c8b-kw5cn; 17.16
qua 01 mar 2023 01:11:03 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:11:21 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:11:38 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:11:56 -03; Group 2; vote-79787c6c8b-kw5cn; 17.16
qua 01 mar 2023 01:12:13 -03; Group 2; vote-79787c6c8b-kw5cn; 17.15
qua 01 mar 2023 01:12:31 -03; Group 2; vote-79787c6c8b-kw5cn; 17.18
qua 01 mar 2023 01:12:48 -03; Group 2; vote-79787c6c8b-kw5cn; 17.20
qua 01 mar 2023 01:13:06 -03; Group 2; vote-79787c6c8b-kw5cn; 17.19
qua 01 mar 2023 01:13:24 -03; Group 2; vote-79787c6c8b-kw5cn; 17.21
