Data; Group; Nome_POD; PING
qua 01 mar 2023 01:13:31 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:13:39 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:13:46 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:13:53 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:01 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:08 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:16 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:23 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:30 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:38 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:45 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:14:53 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:15:00 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:15:07 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:15:15 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.02
qua 01 mar 2023 01:15:22 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:15:30 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:15:37 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:15:45 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:15:52 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:16:00 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:16:07 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:16:14 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:16:22 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:16:29 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:16:37 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.02
qua 01 mar 2023 01:16:44 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:16:52 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.01
qua 01 mar 2023 01:16:59 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
qua 01 mar 2023 01:17:07 -03; Group 2; worker-78b9ff59fc-xxv5d; 007.00
