Data; Group; Nome_POD; CURL
sex 03 mar 2023 23:12:34 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:12:39 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:12:45 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:12:50 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:12:56 -03; Group 2; vote-79787c6c8b-sbggz; 05.00
sex 03 mar 2023 23:13:01 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:13:06 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:13:12 -03; Group 2; vote-79787c6c8b-sbggz; 05.02
sex 03 mar 2023 23:13:17 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:13:23 -03; Group 2; vote-79787c6c8b-sbggz; 05.02
sex 03 mar 2023 23:13:28 -03; Group 2; vote-79787c6c8b-sbggz; 05.02
sex 03 mar 2023 23:13:33 -03; Group 2; vote-79787c6c8b-sbggz; 05.02
sex 03 mar 2023 23:13:39 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:13:44 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:13:50 -03; Group 2; vote-79787c6c8b-sbggz; 05.00
sex 03 mar 2023 23:13:55 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:00 -03; Group 2; vote-79787c6c8b-sbggz; 05.02
sex 03 mar 2023 23:14:06 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:11 -03; Group 2; vote-79787c6c8b-sbggz; 05.00
sex 03 mar 2023 23:14:17 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:22 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:27 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:33 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:38 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:44 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:49 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:14:55 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:15:00 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:15:05 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
sex 03 mar 2023 23:15:11 -03; Group 2; vote-79787c6c8b-sbggz; 05.01
