Data; Group; Nome_POD; PING
sex 03 mar 2023 21:27:22 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:27:40 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:27:58 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:28:17 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:28:35 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:28:54 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:29:12 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:29:30 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:29:49 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:30:07 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:30:26 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:30:44 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:31:03 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:31:21 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:31:39 -03; Group 2; db-684b9b49fd-h86tp; 018.03
sex 03 mar 2023 21:31:58 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:32:16 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:32:35 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:32:53 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:33:11 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:33:30 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:33:48 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:34:07 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:34:25 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:34:44 -03; Group 2; db-684b9b49fd-h86tp; 018.01
sex 03 mar 2023 21:35:02 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:35:20 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:35:39 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:35:57 -03; Group 2; db-684b9b49fd-h86tp; 018.02
sex 03 mar 2023 21:36:16 -03; Group 2; db-684b9b49fd-h86tp; 018.01
