Data; Group; Nome_POD; PING
sex 03 mar 2023 21:54:33 -03; Group 2; vote-79787c6c8b-sbggz; 17.16
sex 03 mar 2023 21:54:51 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 21:55:08 -03; Group 2; vote-79787c6c8b-sbggz; 17.17
sex 03 mar 2023 21:55:26 -03; Group 2; vote-79787c6c8b-sbggz; 17.16
sex 03 mar 2023 21:55:43 -03; Group 2; vote-79787c6c8b-sbggz; 17.20
sex 03 mar 2023 21:56:01 -03; Group 2; vote-79787c6c8b-sbggz; 17.17
sex 03 mar 2023 21:56:19 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 21:56:36 -03; Group 2; vote-79787c6c8b-sbggz; 17.20
sex 03 mar 2023 21:56:54 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 21:57:11 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 21:57:29 -03; Group 2; vote-79787c6c8b-sbggz; 17.18
sex 03 mar 2023 21:57:47 -03; Group 2; vote-79787c6c8b-sbggz; 17.18
sex 03 mar 2023 21:58:04 -03; Group 2; vote-79787c6c8b-sbggz; 17.19
sex 03 mar 2023 21:58:22 -03; Group 2; vote-79787c6c8b-sbggz; 17.17
sex 03 mar 2023 21:58:39 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 21:58:57 -03; Group 2; vote-79787c6c8b-sbggz; 17.14
sex 03 mar 2023 21:59:14 -03; Group 2; vote-79787c6c8b-sbggz; 17.16
sex 03 mar 2023 21:59:32 -03; Group 2; vote-79787c6c8b-sbggz; 17.16
sex 03 mar 2023 21:59:49 -03; Group 2; vote-79787c6c8b-sbggz; 17.20
sex 03 mar 2023 22:00:07 -03; Group 2; vote-79787c6c8b-sbggz; 17.20
sex 03 mar 2023 22:00:25 -03; Group 2; vote-79787c6c8b-sbggz; 17.19
sex 03 mar 2023 22:00:42 -03; Group 2; vote-79787c6c8b-sbggz; 17.19
sex 03 mar 2023 22:01:00 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 22:01:17 -03; Group 2; vote-79787c6c8b-sbggz; 17.16
sex 03 mar 2023 22:01:35 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 22:01:52 -03; Group 2; vote-79787c6c8b-sbggz; 17.21
sex 03 mar 2023 22:02:10 -03; Group 2; vote-79787c6c8b-sbggz; 17.18
sex 03 mar 2023 22:02:28 -03; Group 2; vote-79787c6c8b-sbggz; 17.15
sex 03 mar 2023 22:02:45 -03; Group 2; vote-79787c6c8b-sbggz; 17.18
sex 03 mar 2023 22:03:03 -03; Group 2; vote-79787c6c8b-sbggz; 17.16
