Data; Group; Nome_POD; APT
dom 05 mar 2023 14:55:41 -03; Group 2; result-77f68799c4-wlwx2; 21.185
dom 05 mar 2023 14:57:42 -03; Group 2; result-77f68799c4-wlwx2; 21.125
dom 05 mar 2023 14:59:44 -03; Group 2; result-77f68799c4-wlwx2; 21.097
dom 05 mar 2023 15:01:46 -03; Group 2; result-77f68799c4-wlwx2; 21.223
dom 05 mar 2023 15:03:47 -03; Group 2; result-77f68799c4-wlwx2; 21.142
dom 05 mar 2023 15:05:49 -03; Group 2; result-77f68799c4-wlwx2; 21.115
dom 05 mar 2023 15:07:50 -03; Group 2; result-77f68799c4-wlwx2; 21.126
dom 05 mar 2023 15:09:52 -03; Group 2; result-77f68799c4-wlwx2; 21.089
dom 05 mar 2023 15:11:53 -03; Group 2; result-77f68799c4-wlwx2; 21.070
dom 05 mar 2023 15:13:55 -03; Group 2; result-77f68799c4-wlwx2; 21.249
dom 05 mar 2023 15:15:56 -03; Group 2; result-77f68799c4-wlwx2; 21.112
dom 05 mar 2023 15:17:58 -03; Group 2; result-77f68799c4-wlwx2; 21.072
dom 05 mar 2023 15:19:59 -03; Group 2; result-77f68799c4-wlwx2; 21.079
dom 05 mar 2023 15:22:01 -03; Group 2; result-77f68799c4-wlwx2; 21.122
dom 05 mar 2023 15:24:02 -03; Group 2; result-77f68799c4-wlwx2; 21.106
dom 05 mar 2023 15:26:04 -03; Group 2; result-77f68799c4-wlwx2; 21.090
dom 05 mar 2023 15:28:05 -03; Group 2; result-77f68799c4-wlwx2; 21.190
dom 05 mar 2023 15:30:07 -03; Group 2; result-77f68799c4-wlwx2; 21.079
dom 05 mar 2023 15:32:09 -03; Group 2; result-77f68799c4-wlwx2; 21.059
dom 05 mar 2023 15:34:10 -03; Group 2; result-77f68799c4-wlwx2; 21.097
dom 05 mar 2023 15:36:12 -03; Group 2; result-77f68799c4-wlwx2; 21.139
dom 05 mar 2023 15:38:13 -03; Group 2; result-77f68799c4-wlwx2; 21.101
dom 05 mar 2023 15:40:15 -03; Group 2; result-77f68799c4-wlwx2; 21.255
dom 05 mar 2023 15:42:16 -03; Group 2; result-77f68799c4-wlwx2; 21.049
dom 05 mar 2023 15:44:18 -03; Group 2; result-77f68799c4-wlwx2; 21.096
dom 05 mar 2023 15:46:19 -03; Group 2; result-77f68799c4-wlwx2; 21.104
dom 05 mar 2023 15:48:21 -03; Group 2; result-77f68799c4-wlwx2; 21.121
dom 05 mar 2023 15:50:22 -03; Group 2; result-77f68799c4-wlwx2; 21.111
dom 05 mar 2023 15:52:24 -03; Group 2; result-77f68799c4-wlwx2; 21.064
dom 05 mar 2023 15:54:26 -03; Group 2; result-77f68799c4-wlwx2; 21.259
