Data; Group; Nome_POD; APT
dom 05 mar 2023 15:54:36 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:54:47 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:54:57 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:55:08 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:55:18 -03; Group 2; vote-79787c6c8b-qpzmg; 10.20
dom 05 mar 2023 15:55:29 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:55:40 -03; Group 2; vote-79787c6c8b-qpzmg; 10.21
dom 05 mar 2023 15:55:50 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:56:01 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:56:11 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:56:22 -03; Group 2; vote-79787c6c8b-qpzmg; 10.20
dom 05 mar 2023 15:56:33 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:56:43 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:56:54 -03; Group 2; vote-79787c6c8b-qpzmg; 10.20
dom 05 mar 2023 15:57:04 -03; Group 2; vote-79787c6c8b-qpzmg; 10.21
dom 05 mar 2023 15:57:15 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:57:26 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:57:36 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:57:47 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:57:57 -03; Group 2; vote-79787c6c8b-qpzmg; 10.20
dom 05 mar 2023 15:58:08 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:58:18 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:58:29 -03; Group 2; vote-79787c6c8b-qpzmg; 10.20
dom 05 mar 2023 15:58:40 -03; Group 2; vote-79787c6c8b-qpzmg; 10.21
dom 05 mar 2023 15:58:50 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:59:01 -03; Group 2; vote-79787c6c8b-qpzmg; 10.21
dom 05 mar 2023 15:59:12 -03; Group 2; vote-79787c6c8b-qpzmg; 10.19
dom 05 mar 2023 15:59:22 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:59:33 -03; Group 2; vote-79787c6c8b-qpzmg; 10.18
dom 05 mar 2023 15:59:43 -03; Group 2; vote-79787c6c8b-qpzmg; 10.21
