Data; Group; Nome_POD; APT
dom 05 mar 2023 15:59:45 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.771
dom 05 mar 2023 15:59:47 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.541
dom 05 mar 2023 15:59:49 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.528
dom 05 mar 2023 15:59:51 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.512
dom 05 mar 2023 15:59:53 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.472
dom 05 mar 2023 15:59:55 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.633
dom 05 mar 2023 15:59:57 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.546
dom 05 mar 2023 15:59:59 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.500
dom 05 mar 2023 16:00:01 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.482
dom 05 mar 2023 16:00:03 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.524
dom 05 mar 2023 16:00:05 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.624
dom 05 mar 2023 16:00:07 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.484
dom 05 mar 2023 16:00:09 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.598
dom 05 mar 2023 16:00:10 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.480
dom 05 mar 2023 16:00:12 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.491
dom 05 mar 2023 16:00:14 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.493
dom 05 mar 2023 16:00:16 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.540
dom 05 mar 2023 16:00:18 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.512
dom 05 mar 2023 16:00:20 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.475
dom 05 mar 2023 16:00:22 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.548
dom 05 mar 2023 16:00:24 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.526
dom 05 mar 2023 16:00:26 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.579
dom 05 mar 2023 16:00:28 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.512
dom 05 mar 2023 16:00:30 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.580
dom 05 mar 2023 16:00:32 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.515
dom 05 mar 2023 16:00:33 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.484
dom 05 mar 2023 16:00:35 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.670
dom 05 mar 2023 16:00:37 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.533
dom 05 mar 2023 16:00:39 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.496
dom 05 mar 2023 16:00:41 -03; Group 2; worker-78b9ff59fc-5wmnc; 01.458
