Data; Group; Nome_POD; CURL
dom 05 mar 2023 12:24:23 -03; Group 2; result-77f68799c4-wlwx2; 020.583
dom 05 mar 2023 12:24:44 -03; Group 2; result-77f68799c4-wlwx2; 020.606
dom 05 mar 2023 12:25:05 -03; Group 2; result-77f68799c4-wlwx2; 020.613
dom 05 mar 2023 12:25:26 -03; Group 2; result-77f68799c4-wlwx2; 020.596
dom 05 mar 2023 12:25:47 -03; Group 2; result-77f68799c4-wlwx2; 020.651
dom 05 mar 2023 12:26:08 -03; Group 2; result-77f68799c4-wlwx2; 020.610
dom 05 mar 2023 12:26:29 -03; Group 2; result-77f68799c4-wlwx2; 020.578
dom 05 mar 2023 12:26:50 -03; Group 2; result-77f68799c4-wlwx2; 020.636
dom 05 mar 2023 12:27:11 -03; Group 2; result-77f68799c4-wlwx2; 020.588
dom 05 mar 2023 12:27:32 -03; Group 2; result-77f68799c4-wlwx2; 020.633
dom 05 mar 2023 12:27:53 -03; Group 2; result-77f68799c4-wlwx2; 020.597
dom 05 mar 2023 12:28:14 -03; Group 2; result-77f68799c4-wlwx2; 020.576
dom 05 mar 2023 12:28:35 -03; Group 2; result-77f68799c4-wlwx2; 020.601
dom 05 mar 2023 12:28:56 -03; Group 2; result-77f68799c4-wlwx2; 020.596
dom 05 mar 2023 12:29:17 -03; Group 2; result-77f68799c4-wlwx2; 020.611
dom 05 mar 2023 12:29:38 -03; Group 2; result-77f68799c4-wlwx2; 020.615
dom 05 mar 2023 12:29:59 -03; Group 2; result-77f68799c4-wlwx2; 020.597
dom 05 mar 2023 12:30:20 -03; Group 2; result-77f68799c4-wlwx2; 020.614
dom 05 mar 2023 12:30:41 -03; Group 2; result-77f68799c4-wlwx2; 020.625
dom 05 mar 2023 12:31:02 -03; Group 2; result-77f68799c4-wlwx2; 020.604
dom 05 mar 2023 12:31:23 -03; Group 2; result-77f68799c4-wlwx2; 020.634
dom 05 mar 2023 12:31:44 -03; Group 2; result-77f68799c4-wlwx2; 020.630
dom 05 mar 2023 12:32:05 -03; Group 2; result-77f68799c4-wlwx2; 020.619
dom 05 mar 2023 12:32:26 -03; Group 2; result-77f68799c4-wlwx2; 020.589
dom 05 mar 2023 12:32:47 -03; Group 2; result-77f68799c4-wlwx2; 020.586
dom 05 mar 2023 12:33:08 -03; Group 2; result-77f68799c4-wlwx2; 020.618
dom 05 mar 2023 12:33:29 -03; Group 2; result-77f68799c4-wlwx2; 020.587
dom 05 mar 2023 12:33:50 -03; Group 2; result-77f68799c4-wlwx2; 020.568
dom 05 mar 2023 12:34:11 -03; Group 2; result-77f68799c4-wlwx2; 020.610
dom 05 mar 2023 12:34:32 -03; Group 2; result-77f68799c4-wlwx2; 020.616
