Data,Group,Nome_POD,APT
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.194
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.185
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.141
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.077
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.125
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.239
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.122
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.094
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.117
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.097
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.102
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.191
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.246
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.149
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.148
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.111
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.105
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.142
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.299
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.118
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.158
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.133
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.102
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.142
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.296
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.137
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.083
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.174
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.101
05-03-2023,Group 2,db-684b9b49fd-jc9hl,21.139
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.38
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.39
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.55
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.39
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.40
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.40
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.40
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.37
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.39
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.40
05-03-2023,Group 2,redis-67db9bd79b-8rxkm,10.40
