Data; Group; Nome_POD; PING
dom 05 mar 2023 22:10:11 -03; Group 2; vote-79787c6c8b-qpzmg; 17.18
dom 05 mar 2023 22:10:29 -03; Group 2; vote-79787c6c8b-qpzmg; 17.16
dom 05 mar 2023 22:10:47 -03; Group 2; vote-79787c6c8b-qpzmg; 17.20
dom 05 mar 2023 22:11:04 -03; Group 2; vote-79787c6c8b-qpzmg; 17.17
dom 05 mar 2023 22:11:22 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:11:39 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:11:57 -03; Group 2; vote-79787c6c8b-qpzmg; 17.15
dom 05 mar 2023 22:12:15 -03; Group 2; vote-79787c6c8b-qpzmg; 17.20
dom 05 mar 2023 22:12:32 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:12:50 -03; Group 2; vote-79787c6c8b-qpzmg; 17.16
dom 05 mar 2023 22:13:07 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:13:25 -03; Group 2; vote-79787c6c8b-qpzmg; 17.20
dom 05 mar 2023 22:13:43 -03; Group 2; vote-79787c6c8b-qpzmg; 17.16
dom 05 mar 2023 22:14:00 -03; Group 2; vote-79787c6c8b-qpzmg; 17.18
dom 05 mar 2023 22:14:18 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:14:35 -03; Group 2; vote-79787c6c8b-qpzmg; 17.16
dom 05 mar 2023 22:14:53 -03; Group 2; vote-79787c6c8b-qpzmg; 17.15
dom 05 mar 2023 22:15:11 -03; Group 2; vote-79787c6c8b-qpzmg; 17.17
dom 05 mar 2023 22:15:28 -03; Group 2; vote-79787c6c8b-qpzmg; 17.16
dom 05 mar 2023 22:15:46 -03; Group 2; vote-79787c6c8b-qpzmg; 17.17
dom 05 mar 2023 22:16:03 -03; Group 2; vote-79787c6c8b-qpzmg; 17.15
dom 05 mar 2023 22:16:21 -03; Group 2; vote-79787c6c8b-qpzmg; 17.15
dom 05 mar 2023 22:16:38 -03; Group 2; vote-79787c6c8b-qpzmg; 17.17
dom 05 mar 2023 22:16:56 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:17:13 -03; Group 2; vote-79787c6c8b-qpzmg; 17.16
dom 05 mar 2023 22:17:31 -03; Group 2; vote-79787c6c8b-qpzmg; 17.17
dom 05 mar 2023 22:17:48 -03; Group 2; vote-79787c6c8b-qpzmg; 17.15
dom 05 mar 2023 22:18:06 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
dom 05 mar 2023 22:18:24 -03; Group 2; vote-79787c6c8b-qpzmg; 17.17
dom 05 mar 2023 22:18:41 -03; Group 2; vote-79787c6c8b-qpzmg; 17.19
