Data; Group; Nome_POD; WGET
dom 05 mar 2023 18:54:28 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:54:33 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:54:38 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:54:44 -03; Group 2; vote-79787c6c8b-qpzmg; 05.03
dom 05 mar 2023 18:54:49 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:54:55 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:00 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:05 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:11 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:16 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:22 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:27 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:33 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:38 -03; Group 2; vote-79787c6c8b-qpzmg; 05.01
dom 05 mar 2023 18:55:43 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:49 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:55:54 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:00 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:05 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:11 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:16 -03; Group 2; vote-79787c6c8b-qpzmg; 05.03
dom 05 mar 2023 18:56:21 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:27 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:32 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:38 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:43 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:48 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:54 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:56:59 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
dom 05 mar 2023 18:57:05 -03; Group 2; vote-79787c6c8b-qpzmg; 05.02
