Data; Group; Nome_POD; PING
sex 17 fev 2023 11:05:22 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642722
sex 17 fev 2023 11:05:29 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642729
sex 17 fev 2023 11:05:37 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642737
sex 17 fev 2023 11:05:44 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642744
sex 17 fev 2023 11:05:51 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642751
sex 17 fev 2023 11:05:59 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642759
sex 17 fev 2023 11:06:06 -03; Group 1; vote-79787c6c8b-tk4cn; 47.01676642766
sex 17 fev 2023 11:06:14 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642774
sex 17 fev 2023 11:06:21 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642781
sex 17 fev 2023 11:06:28 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642788
sex 17 fev 2023 11:06:36 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642796
sex 17 fev 2023 11:06:43 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642803
sex 17 fev 2023 11:06:51 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642811
sex 17 fev 2023 11:06:58 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642818
sex 17 fev 2023 11:07:05 -03; Group 1; vote-79787c6c8b-tk4cn; 47.01676642825
sex 17 fev 2023 11:07:13 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642833
sex 17 fev 2023 11:07:20 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642840
sex 17 fev 2023 11:07:28 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642848
sex 17 fev 2023 11:07:35 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642855
sex 17 fev 2023 11:07:42 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642862
sex 17 fev 2023 11:07:50 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642870
sex 17 fev 2023 11:07:57 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642877
sex 17 fev 2023 11:08:05 -03; Group 1; vote-79787c6c8b-tk4cn; 48.01676642885
sex 17 fev 2023 11:08:12 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642892
sex 17 fev 2023 11:08:19 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642899
sex 17 fev 2023 11:08:27 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642907
sex 17 fev 2023 11:08:34 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642914
sex 17 fev 2023 11:08:42 -03; Group 1; vote-79787c6c8b-tk4cn; 8.01676642922
sex 17 fev 2023 11:08:49 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642929
sex 17 fev 2023 11:08:56 -03; Group 1; vote-79787c6c8b-tk4cn; 7.01676642936
