Data; Group; Nome_POD; APT
ter 07 mar 2023 11:08:37 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198117
ter 07 mar 2023 11:08:39 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198119
ter 07 mar 2023 11:08:41 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198121
ter 07 mar 2023 11:08:43 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198123
ter 07 mar 2023 11:08:45 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198125
ter 07 mar 2023 11:08:47 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198127
ter 07 mar 2023 11:08:49 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198129
ter 07 mar 2023 11:08:51 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198131
ter 07 mar 2023 11:08:53 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198133
ter 07 mar 2023 11:08:55 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198135
ter 07 mar 2023 11:08:57 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198137
ter 07 mar 2023 11:08:59 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198139
ter 07 mar 2023 11:09:01 -03; Group 1; db-684b9b49fd-75jjw; 42.01678198141
ter 07 mar 2023 11:09:03 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198143
ter 07 mar 2023 11:09:05 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198145
ter 07 mar 2023 11:09:07 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198147
ter 07 mar 2023 11:09:09 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198149
ter 07 mar 2023 11:09:11 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198151
ter 07 mar 2023 11:09:13 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198153
ter 07 mar 2023 11:09:15 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198155
ter 07 mar 2023 11:09:18 -03; Group 1; db-684b9b49fd-75jjw; 3.01678198158
ter 07 mar 2023 11:09:20 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198160
ter 07 mar 2023 11:09:22 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198162
ter 07 mar 2023 11:09:24 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198164
ter 07 mar 2023 11:09:26 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198166
ter 07 mar 2023 11:09:28 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198168
ter 07 mar 2023 11:09:30 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198170
ter 07 mar 2023 11:09:32 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198172
ter 07 mar 2023 11:09:34 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198174
ter 07 mar 2023 11:09:36 -03; Group 1; db-684b9b49fd-75jjw; 2.01678198176
