Data; Group; Nome_POD; CURL
ter 07 mar 2023 10:46:33 -03; Group 1; redis-67db9bd79b-msprv; .01678196793
ter 07 mar 2023 10:46:34 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196794
ter 07 mar 2023 10:46:34 -03; Group 1; redis-67db9bd79b-msprv; .01678196794
ter 07 mar 2023 10:46:35 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196795
ter 07 mar 2023 10:46:35 -03; Group 1; redis-67db9bd79b-msprv; .01678196795
ter 07 mar 2023 10:46:36 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196796
ter 07 mar 2023 10:46:36 -03; Group 1; redis-67db9bd79b-msprv; .01678196796
ter 07 mar 2023 10:46:36 -03; Group 1; redis-67db9bd79b-msprv; .01678196796
ter 07 mar 2023 10:46:37 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196797
ter 07 mar 2023 10:46:37 -03; Group 1; redis-67db9bd79b-msprv; .01678196797
ter 07 mar 2023 10:46:38 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196798
ter 07 mar 2023 10:46:38 -03; Group 1; redis-67db9bd79b-msprv; .01678196798
ter 07 mar 2023 10:46:39 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196799
ter 07 mar 2023 10:46:39 -03; Group 1; redis-67db9bd79b-msprv; .01678196799
ter 07 mar 2023 10:46:40 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196800
ter 07 mar 2023 10:46:40 -03; Group 1; redis-67db9bd79b-msprv; .01678196800
ter 07 mar 2023 10:46:41 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196801
ter 07 mar 2023 10:46:41 -03; Group 1; redis-67db9bd79b-msprv; .01678196801
ter 07 mar 2023 10:46:42 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196802
ter 07 mar 2023 10:46:42 -03; Group 1; redis-67db9bd79b-msprv; .01678196802
ter 07 mar 2023 10:46:43 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196803
ter 07 mar 2023 10:46:43 -03; Group 1; redis-67db9bd79b-msprv; .01678196803
ter 07 mar 2023 10:46:44 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196804
ter 07 mar 2023 10:46:44 -03; Group 1; redis-67db9bd79b-msprv; .01678196804
ter 07 mar 2023 10:46:45 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196805
ter 07 mar 2023 10:46:45 -03; Group 1; redis-67db9bd79b-msprv; .01678196805
ter 07 mar 2023 10:46:46 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196806
ter 07 mar 2023 10:46:46 -03; Group 1; redis-67db9bd79b-msprv; .01678196806
ter 07 mar 2023 10:46:47 -03; Group 1; redis-67db9bd79b-msprv; 1.01678196807
ter 07 mar 2023 10:46:47 -03; Group 1; redis-67db9bd79b-msprv; .01678196807
