Data; Group; Nome_POD; PING
ter 07 mar 2023 11:04:09 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197849
ter 07 mar 2023 11:04:16 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197856
ter 07 mar 2023 11:04:24 -03; Group 1; worker-78b9ff59fc-bnftj; 8.01678197864
ter 07 mar 2023 11:04:31 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197871
ter 07 mar 2023 11:04:38 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197878
ter 07 mar 2023 11:04:45 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197885
ter 07 mar 2023 11:04:53 -03; Group 1; worker-78b9ff59fc-bnftj; 8.01678197893
ter 07 mar 2023 11:05:00 -03; Group 1; worker-78b9ff59fc-bnftj; 47.01678197900
ter 07 mar 2023 11:05:07 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197907
ter 07 mar 2023 11:05:14 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197914
ter 07 mar 2023 11:05:22 -03; Group 1; worker-78b9ff59fc-bnftj; 8.01678197922
ter 07 mar 2023 11:05:29 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197929
ter 07 mar 2023 11:05:36 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197936
ter 07 mar 2023 11:05:43 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197943
ter 07 mar 2023 11:05:50 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197950
ter 07 mar 2023 11:05:58 -03; Group 1; worker-78b9ff59fc-bnftj; 8.01678197958
ter 07 mar 2023 11:06:05 -03; Group 1; worker-78b9ff59fc-bnftj; 47.01678197965
ter 07 mar 2023 11:06:12 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197972
ter 07 mar 2023 11:06:19 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197979
ter 07 mar 2023 11:06:27 -03; Group 1; worker-78b9ff59fc-bnftj; 8.01678197987
ter 07 mar 2023 11:06:34 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678197994
ter 07 mar 2023 11:06:41 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198001
ter 07 mar 2023 11:06:48 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198008
ter 07 mar 2023 11:06:55 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198015
ter 07 mar 2023 11:07:03 -03; Group 1; worker-78b9ff59fc-bnftj; 48.01678198023
ter 07 mar 2023 11:07:10 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198030
ter 07 mar 2023 11:07:17 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198037
ter 07 mar 2023 11:07:24 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198044
ter 07 mar 2023 11:07:32 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198051
ter 07 mar 2023 11:07:39 -03; Group 1; worker-78b9ff59fc-bnftj; 7.01678198059
