Data; Group; Nome_POD; PING
sáb 25 fev 2023 17:02:09 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355329
sáb 25 fev 2023 17:02:16 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355336
sáb 25 fev 2023 17:02:23 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355343
sáb 25 fev 2023 17:02:31 -03; Group 1; db-684b9b49fd-m6zb8; 8.01677355351
sáb 25 fev 2023 17:02:38 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355358
sáb 25 fev 2023 17:02:45 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355365
sáb 25 fev 2023 17:02:52 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355372
sáb 25 fev 2023 17:02:59 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355379
sáb 25 fev 2023 17:03:07 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355387
sáb 25 fev 2023 17:03:14 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355394
sáb 25 fev 2023 17:03:21 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355401
sáb 25 fev 2023 17:03:28 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355408
sáb 25 fev 2023 17:03:36 -03; Group 1; db-684b9b49fd-m6zb8; 8.01677355416
sáb 25 fev 2023 17:03:43 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355423
sáb 25 fev 2023 17:03:50 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355430
sáb 25 fev 2023 17:03:57 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355437
sáb 25 fev 2023 17:04:05 -03; Group 1; db-684b9b49fd-m6zb8; 48.01677355445
sáb 25 fev 2023 17:04:12 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355452
sáb 25 fev 2023 17:04:19 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355459
sáb 25 fev 2023 17:04:26 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355466
sáb 25 fev 2023 17:04:34 -03; Group 1; db-684b9b49fd-m6zb8; 8.01677355474
sáb 25 fev 2023 17:04:41 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355481
sáb 25 fev 2023 17:04:48 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355488
sáb 25 fev 2023 17:04:55 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355495
sáb 25 fev 2023 17:05:02 -03; Group 1; db-684b9b49fd-m6zb8; 47.01677355502
sáb 25 fev 2023 17:05:10 -03; Group 1; db-684b9b49fd-m6zb8; 8.01677355510
sáb 25 fev 2023 17:05:17 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355517
sáb 25 fev 2023 17:05:24 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355524
sáb 25 fev 2023 17:05:31 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355531
sáb 25 fev 2023 17:05:38 -03; Group 1; db-684b9b49fd-m6zb8; 7.01677355538
