Data; Group; Nome_POD; APT
dom 26 fev 2023 13:58:21 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430701
dom 26 fev 2023 13:58:22 -03; Group 1; result-77f68799c4-t2pjf; 1.01677430702
dom 26 fev 2023 13:58:24 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430704
dom 26 fev 2023 13:58:26 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430706
dom 26 fev 2023 13:58:28 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430708
dom 26 fev 2023 13:58:30 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430710
dom 26 fev 2023 13:58:32 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430712
dom 26 fev 2023 13:58:34 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430714
dom 26 fev 2023 13:58:36 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430716
dom 26 fev 2023 13:58:38 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430718
dom 26 fev 2023 13:58:40 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430720
dom 26 fev 2023 13:58:41 -03; Group 1; result-77f68799c4-t2pjf; 1.01677430721
dom 26 fev 2023 13:58:43 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430723
dom 26 fev 2023 13:58:45 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430725
dom 26 fev 2023 13:58:47 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430727
dom 26 fev 2023 13:58:49 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430729
dom 26 fev 2023 13:58:51 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430731
dom 26 fev 2023 13:58:53 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430733
dom 26 fev 2023 13:58:55 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430735
dom 26 fev 2023 13:58:57 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430737
dom 26 fev 2023 13:58:59 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430739
dom 26 fev 2023 13:59:01 -03; Group 1; result-77f68799c4-t2pjf; 42.01677430741
dom 26 fev 2023 13:59:02 -03; Group 1; result-77f68799c4-t2pjf; 1.01677430742
dom 26 fev 2023 13:59:04 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430744
dom 26 fev 2023 13:59:06 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430746
dom 26 fev 2023 13:59:08 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430748
dom 26 fev 2023 13:59:10 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430750
dom 26 fev 2023 13:59:12 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430752
dom 26 fev 2023 13:59:14 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430754
dom 26 fev 2023 13:59:16 -03; Group 1; result-77f68799c4-t2pjf; 2.01677430756
