Data; Group; Nome_POD; PING
dom 26 fev 2023 14:15:59 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431759
dom 26 fev 2023 14:16:06 -03; Group 1; vote-79787c6c8b-msz44; 47.01677431766
dom 26 fev 2023 14:16:14 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431774
dom 26 fev 2023 14:16:21 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431781
dom 26 fev 2023 14:16:28 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431788
dom 26 fev 2023 14:16:36 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431796
dom 26 fev 2023 14:16:43 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431803
dom 26 fev 2023 14:16:51 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431811
dom 26 fev 2023 14:16:58 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431818
dom 26 fev 2023 14:17:05 -03; Group 1; vote-79787c6c8b-msz44; 47.01677431825
dom 26 fev 2023 14:17:13 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431833
dom 26 fev 2023 14:17:20 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431840
dom 26 fev 2023 14:17:27 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431847
dom 26 fev 2023 14:17:35 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431855
dom 26 fev 2023 14:17:42 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431862
dom 26 fev 2023 14:17:50 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431870
dom 26 fev 2023 14:17:57 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431877
dom 26 fev 2023 14:18:04 -03; Group 1; vote-79787c6c8b-msz44; 47.01677431884
dom 26 fev 2023 14:18:12 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431892
dom 26 fev 2023 14:18:19 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431899
dom 26 fev 2023 14:18:26 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431906
dom 26 fev 2023 14:18:34 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431914
dom 26 fev 2023 14:18:41 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431921
dom 26 fev 2023 14:18:49 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431929
dom 26 fev 2023 14:18:56 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431936
dom 26 fev 2023 14:19:03 -03; Group 1; vote-79787c6c8b-msz44; 47.01677431943
dom 26 fev 2023 14:19:11 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431951
dom 26 fev 2023 14:19:18 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431958
dom 26 fev 2023 14:19:25 -03; Group 1; vote-79787c6c8b-msz44; 7.01677431965
dom 26 fev 2023 14:19:33 -03; Group 1; vote-79787c6c8b-msz44; 8.01677431973
