Data; Group; Nome_POD; APT
dom 26 fev 2023 20:38:51 -03; Group 1; redis-67db9bd79b-s2hc6; 2.01677454731
dom 26 fev 2023 20:38:52 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454732
dom 26 fev 2023 20:38:53 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454733
dom 26 fev 2023 20:38:55 -03; Group 1; redis-67db9bd79b-s2hc6; 2.01677454735
dom 26 fev 2023 20:38:56 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454736
dom 26 fev 2023 20:38:57 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454737
dom 26 fev 2023 20:38:58 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454738
dom 26 fev 2023 20:39:00 -03; Group 1; redis-67db9bd79b-s2hc6; 42.01677454740
dom 26 fev 2023 20:39:01 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454741
dom 26 fev 2023 20:39:02 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454742
dom 26 fev 2023 20:39:03 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454743
dom 26 fev 2023 20:39:04 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454744
dom 26 fev 2023 20:39:06 -03; Group 1; redis-67db9bd79b-s2hc6; 2.01677454746
dom 26 fev 2023 20:39:07 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454747
dom 26 fev 2023 20:39:08 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454748
dom 26 fev 2023 20:39:09 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454749
dom 26 fev 2023 20:39:10 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454750
dom 26 fev 2023 20:39:11 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454751
dom 26 fev 2023 20:39:12 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454752
dom 26 fev 2023 20:39:14 -03; Group 1; redis-67db9bd79b-s2hc6; 2.01677454754
dom 26 fev 2023 20:39:15 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454755
dom 26 fev 2023 20:39:17 -03; Group 1; redis-67db9bd79b-s2hc6; 2.01677454757
dom 26 fev 2023 20:39:18 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454758
dom 26 fev 2023 20:39:19 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454759
dom 26 fev 2023 20:39:20 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454760
dom 26 fev 2023 20:39:21 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454761
dom 26 fev 2023 20:39:22 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454762
dom 26 fev 2023 20:39:24 -03; Group 1; redis-67db9bd79b-s2hc6; 2.01677454764
dom 26 fev 2023 20:39:25 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454765
dom 26 fev 2023 20:39:26 -03; Group 1; redis-67db9bd79b-s2hc6; 1.01677454766
