Data; Group; Nome_POD; PING
dom 26 fev 2023 20:14:48 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453288
dom 26 fev 2023 20:14:55 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453295
dom 26 fev 2023 20:15:03 -03; Group 1; db-684b9b49fd-tkdq8; 48.01677453303
dom 26 fev 2023 20:15:10 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453310
dom 26 fev 2023 20:15:17 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453317
dom 26 fev 2023 20:15:24 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453324
dom 26 fev 2023 20:15:32 -03; Group 1; db-684b9b49fd-tkdq8; 8.01677453332
dom 26 fev 2023 20:15:39 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453339
dom 26 fev 2023 20:15:46 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453346
dom 26 fev 2023 20:15:53 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453353
dom 26 fev 2023 20:16:00 -03; Group 1; db-684b9b49fd-tkdq8; 47.01677453360
dom 26 fev 2023 20:16:08 -03; Group 1; db-684b9b49fd-tkdq8; 8.01677453368
dom 26 fev 2023 20:16:15 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453375
dom 26 fev 2023 20:16:22 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453382
dom 26 fev 2023 20:16:29 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453389
dom 26 fev 2023 20:16:37 -03; Group 1; db-684b9b49fd-tkdq8; 8.01677453397
dom 26 fev 2023 20:16:44 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453404
dom 26 fev 2023 20:16:51 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453411
dom 26 fev 2023 20:16:58 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453418
dom 26 fev 2023 20:17:06 -03; Group 1; db-684b9b49fd-tkdq8; 48.01677453426
dom 26 fev 2023 20:17:13 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453433
dom 26 fev 2023 20:17:20 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453440
dom 26 fev 2023 20:17:27 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453447
dom 26 fev 2023 20:17:35 -03; Group 1; db-684b9b49fd-tkdq8; 8.01677453455
dom 26 fev 2023 20:17:42 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453462
dom 26 fev 2023 20:17:49 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453469
dom 26 fev 2023 20:17:56 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453476
dom 26 fev 2023 20:18:04 -03; Group 1; db-684b9b49fd-tkdq8; 48.01677453484
dom 26 fev 2023 20:18:11 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453491
dom 26 fev 2023 20:18:18 -03; Group 1; db-684b9b49fd-tkdq8; 7.01677453498
