Data; Group; Nome_POD; PING
dom 26 fev 2023 20:18:25 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453505
dom 26 fev 2023 20:18:33 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453513
dom 26 fev 2023 20:18:40 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453520
dom 26 fev 2023 20:18:48 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453528
dom 26 fev 2023 20:18:55 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453535
dom 26 fev 2023 20:19:02 -03; Group 1; redis-67db9bd79b-s2hc6; 47.01677453542
dom 26 fev 2023 20:19:10 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453550
dom 26 fev 2023 20:19:17 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453557
dom 26 fev 2023 20:19:25 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453565
dom 26 fev 2023 20:19:32 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453572
dom 26 fev 2023 20:19:39 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453579
dom 26 fev 2023 20:19:47 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453587
dom 26 fev 2023 20:19:54 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453594
dom 26 fev 2023 20:20:02 -03; Group 1; redis-67db9bd79b-s2hc6; 48.01677453602
dom 26 fev 2023 20:20:09 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453609
dom 26 fev 2023 20:20:16 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453616
dom 26 fev 2023 20:20:24 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453624
dom 26 fev 2023 20:20:31 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453631
dom 26 fev 2023 20:20:39 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453639
dom 26 fev 2023 20:20:46 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453646
dom 26 fev 2023 20:20:53 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453653
dom 26 fev 2023 20:21:01 -03; Group 1; redis-67db9bd79b-s2hc6; 48.01677453661
dom 26 fev 2023 20:21:08 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453668
dom 26 fev 2023 20:21:15 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453675
dom 26 fev 2023 20:21:23 -03; Group 1; redis-67db9bd79b-s2hc6; 8.01677453683
dom 26 fev 2023 20:21:30 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453690
dom 26 fev 2023 20:21:38 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453697
dom 26 fev 2023 20:21:45 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453705
dom 26 fev 2023 20:21:52 -03; Group 1; redis-67db9bd79b-s2hc6; 7.01677453712
dom 26 fev 2023 20:22:00 -03; Group 1; redis-67db9bd79b-s2hc6; 48.01677453720
