Data; Group; Nome_POD; PING
dom 26 fev 2023 20:22:07 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453727
dom 26 fev 2023 20:22:14 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453734
dom 26 fev 2023 20:22:21 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453741
dom 26 fev 2023 20:22:29 -03; Group 1; result-77f68799c4-t2pjf; 8.01677453749
dom 26 fev 2023 20:22:36 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453756
dom 26 fev 2023 20:22:43 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453763
dom 26 fev 2023 20:22:50 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453770
dom 26 fev 2023 20:22:57 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453777
dom 26 fev 2023 20:23:05 -03; Group 1; result-77f68799c4-t2pjf; 48.01677453785
dom 26 fev 2023 20:23:12 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453792
dom 26 fev 2023 20:23:19 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453799
dom 26 fev 2023 20:23:26 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453806
dom 26 fev 2023 20:23:34 -03; Group 1; result-77f68799c4-t2pjf; 8.01677453814
dom 26 fev 2023 20:23:41 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453821
dom 26 fev 2023 20:23:48 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453828
dom 26 fev 2023 20:23:55 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453835
dom 26 fev 2023 20:24:03 -03; Group 1; result-77f68799c4-t2pjf; 48.01677453843
dom 26 fev 2023 20:24:10 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453850
dom 26 fev 2023 20:24:17 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453857
dom 26 fev 2023 20:24:24 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453864
dom 26 fev 2023 20:24:31 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453871
dom 26 fev 2023 20:24:39 -03; Group 1; result-77f68799c4-t2pjf; 8.01677453879
dom 26 fev 2023 20:24:46 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453886
dom 26 fev 2023 20:24:53 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453893
dom 26 fev 2023 20:25:00 -03; Group 1; result-77f68799c4-t2pjf; 47.01677453900
dom 26 fev 2023 20:25:08 -03; Group 1; result-77f68799c4-t2pjf; 8.01677453908
dom 26 fev 2023 20:25:15 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453915
dom 26 fev 2023 20:25:22 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453922
dom 26 fev 2023 20:25:29 -03; Group 1; result-77f68799c4-t2pjf; 7.01677453929
dom 26 fev 2023 20:25:37 -03; Group 1; result-77f68799c4-t2pjf; 8.01677453937
