Data; Group; Nome_POD; APT
seg 27 fev 2023 13:57:07 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517027
seg 27 fev 2023 13:57:08 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517028
seg 27 fev 2023 13:57:10 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517030
seg 27 fev 2023 13:57:11 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517031
seg 27 fev 2023 13:57:13 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517033
seg 27 fev 2023 13:57:14 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517034
seg 27 fev 2023 13:57:15 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517035
seg 27 fev 2023 13:57:16 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517036
seg 27 fev 2023 13:57:18 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517038
seg 27 fev 2023 13:57:19 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517039
seg 27 fev 2023 13:57:21 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517041
seg 27 fev 2023 13:57:22 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517042
seg 27 fev 2023 13:57:23 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517043
seg 27 fev 2023 13:57:25 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517045
seg 27 fev 2023 13:57:26 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517046
seg 27 fev 2023 13:57:28 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517048
seg 27 fev 2023 13:57:29 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517049
seg 27 fev 2023 13:57:31 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517051
seg 27 fev 2023 13:57:32 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517052
seg 27 fev 2023 13:57:33 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517053
seg 27 fev 2023 13:57:35 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517055
seg 27 fev 2023 13:57:36 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517056
seg 27 fev 2023 13:57:37 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517057
seg 27 fev 2023 13:57:39 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517059
seg 27 fev 2023 13:57:41 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517061
seg 27 fev 2023 13:57:42 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517062
seg 27 fev 2023 13:57:43 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517063
seg 27 fev 2023 13:57:44 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517064
seg 27 fev 2023 13:57:46 -03; Group 1; redis-67db9bd79b-6v9ng; 2.01677517066
seg 27 fev 2023 13:57:47 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677517067
