Data; Group; Nome_POD; PING
seg 27 fev 2023 13:45:40 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516340
seg 27 fev 2023 13:45:48 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516348
seg 27 fev 2023 13:45:55 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516355
seg 27 fev 2023 13:46:03 -03; Group 1; vote-79787c6c8b-kb9gv; 48.01677516363
seg 27 fev 2023 13:46:10 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516370
seg 27 fev 2023 13:46:17 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516377
seg 27 fev 2023 13:46:25 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516385
seg 27 fev 2023 13:46:32 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516392
seg 27 fev 2023 13:46:40 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516400
seg 27 fev 2023 13:46:47 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516407
seg 27 fev 2023 13:46:55 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516415
seg 27 fev 2023 13:47:02 -03; Group 1; vote-79787c6c8b-kb9gv; 47.01677516422
seg 27 fev 2023 13:47:10 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516430
seg 27 fev 2023 13:47:17 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516437
seg 27 fev 2023 13:47:24 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516444
seg 27 fev 2023 13:47:32 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516452
seg 27 fev 2023 13:47:39 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516459
seg 27 fev 2023 13:47:47 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516467
seg 27 fev 2023 13:47:54 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516474
seg 27 fev 2023 13:48:02 -03; Group 1; vote-79787c6c8b-kb9gv; 47.01677516481
seg 27 fev 2023 13:48:09 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516489
seg 27 fev 2023 13:48:16 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516496
seg 27 fev 2023 13:48:24 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516504
seg 27 fev 2023 13:48:31 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516511
seg 27 fev 2023 13:48:39 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516519
seg 27 fev 2023 13:48:46 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516526
seg 27 fev 2023 13:48:53 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516533
seg 27 fev 2023 13:49:01 -03; Group 1; vote-79787c6c8b-kb9gv; 48.01677516541
seg 27 fev 2023 13:49:08 -03; Group 1; vote-79787c6c8b-kb9gv; 7.01677516548
seg 27 fev 2023 13:49:16 -03; Group 1; vote-79787c6c8b-kb9gv; 8.01677516556
