Data; Group; Nome_POD; WGET
seg 27 fev 2023 13:28:32 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515312
seg 27 fev 2023 13:28:32 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515312
seg 27 fev 2023 13:28:33 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515313
seg 27 fev 2023 13:28:33 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515313
seg 27 fev 2023 13:28:34 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515314
seg 27 fev 2023 13:28:34 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515314
seg 27 fev 2023 13:28:35 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515315
seg 27 fev 2023 13:28:35 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515315
seg 27 fev 2023 13:28:36 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515316
seg 27 fev 2023 13:28:36 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515316
seg 27 fev 2023 13:28:37 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515317
seg 27 fev 2023 13:28:38 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515318
seg 27 fev 2023 13:28:38 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515318
seg 27 fev 2023 13:28:39 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515319
seg 27 fev 2023 13:28:39 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515319
seg 27 fev 2023 13:28:40 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515320
seg 27 fev 2023 13:28:41 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515321
seg 27 fev 2023 13:28:41 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515321
seg 27 fev 2023 13:28:42 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515322
seg 27 fev 2023 13:28:42 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515322
seg 27 fev 2023 13:28:43 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515323
seg 27 fev 2023 13:28:43 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515323
seg 27 fev 2023 13:28:44 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515324
seg 27 fev 2023 13:28:44 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515324
seg 27 fev 2023 13:28:45 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515325
seg 27 fev 2023 13:28:46 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515326
seg 27 fev 2023 13:28:46 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515326
seg 27 fev 2023 13:28:47 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515327
seg 27 fev 2023 13:28:47 -03; Group 1; redis-67db9bd79b-6v9ng; .01677515327
seg 27 fev 2023 13:28:48 -03; Group 1; redis-67db9bd79b-6v9ng; 1.01677515328
