Data; Group; Nome_POD; WGET
ter 28 fev 2023 10:12:49 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589969
ter 28 fev 2023 10:12:49 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589969
ter 28 fev 2023 10:12:50 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589970
ter 28 fev 2023 10:12:50 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589970
ter 28 fev 2023 10:12:51 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589971
ter 28 fev 2023 10:12:51 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589971
ter 28 fev 2023 10:12:52 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589972
ter 28 fev 2023 10:12:52 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589972
ter 28 fev 2023 10:12:53 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589973
ter 28 fev 2023 10:12:53 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589973
ter 28 fev 2023 10:12:54 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589974
ter 28 fev 2023 10:12:54 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589974
ter 28 fev 2023 10:12:55 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589975
ter 28 fev 2023 10:12:55 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589975
ter 28 fev 2023 10:12:56 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589976
ter 28 fev 2023 10:12:57 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589976
ter 28 fev 2023 10:12:57 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589977
ter 28 fev 2023 10:12:58 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589978
ter 28 fev 2023 10:12:58 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589978
ter 28 fev 2023 10:12:59 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589979
ter 28 fev 2023 10:12:59 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589979
ter 28 fev 2023 10:13:00 -03; Group 1; vote-79787c6c8b-kw5cn; 41.01677589980
ter 28 fev 2023 10:13:00 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589980
ter 28 fev 2023 10:13:01 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589981
ter 28 fev 2023 10:13:01 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589981
ter 28 fev 2023 10:13:02 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589982
ter 28 fev 2023 10:13:02 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589982
ter 28 fev 2023 10:13:03 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589983
ter 28 fev 2023 10:13:03 -03; Group 1; vote-79787c6c8b-kw5cn; .01677589983
ter 28 fev 2023 10:13:04 -03; Group 1; vote-79787c6c8b-kw5cn; 1.01677589984
