Data; Group; Nome_POD; APT
qua 01 mar 2023 15:46:34 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696394
qua 01 mar 2023 15:46:36 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696396
qua 01 mar 2023 15:46:38 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696398
qua 01 mar 2023 15:46:40 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696400
qua 01 mar 2023 15:46:42 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696402
qua 01 mar 2023 15:46:44 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696404
qua 01 mar 2023 15:46:45 -03; Group 1; db-684b9b49fd-4vb8j; 1.01677696405
qua 01 mar 2023 15:46:47 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696407
qua 01 mar 2023 15:46:49 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696409
qua 01 mar 2023 15:46:51 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696411
qua 01 mar 2023 15:46:53 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696413
qua 01 mar 2023 15:46:55 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696415
qua 01 mar 2023 15:46:57 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696417
qua 01 mar 2023 15:46:59 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696419
qua 01 mar 2023 15:47:01 -03; Group 1; db-684b9b49fd-4vb8j; 42.01677696421
qua 01 mar 2023 15:47:03 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696423
qua 01 mar 2023 15:47:05 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696425
qua 01 mar 2023 15:47:07 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696427
qua 01 mar 2023 15:47:08 -03; Group 1; db-684b9b49fd-4vb8j; 1.01677696428
qua 01 mar 2023 15:47:11 -03; Group 1; db-684b9b49fd-4vb8j; 3.01677696431
qua 01 mar 2023 15:47:13 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696433
qua 01 mar 2023 15:47:15 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696435
qua 01 mar 2023 15:47:16 -03; Group 1; db-684b9b49fd-4vb8j; 1.01677696436
qua 01 mar 2023 15:47:18 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696438
qua 01 mar 2023 15:47:20 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696440
qua 01 mar 2023 15:47:22 -03; Group 1; db-684b9b49fd-4vb8j; 1.01677696442
qua 01 mar 2023 15:47:24 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696444
qua 01 mar 2023 15:47:26 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696446
qua 01 mar 2023 15:47:28 -03; Group 1; db-684b9b49fd-4vb8j; 2.01677696448
qua 01 mar 2023 15:47:31 -03; Group 1; db-684b9b49fd-4vb8j; 3.01677696451
