Data; Group; Nome_POD; APT
qua 01 mar 2023 15:48:08 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696488
qua 01 mar 2023 15:48:10 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696490
qua 01 mar 2023 15:48:12 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696492
qua 01 mar 2023 15:48:14 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696494
qua 01 mar 2023 15:48:15 -03; Group 1; result-77f68799c4-bk5gj; 1.01677696495
qua 01 mar 2023 15:48:17 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696497
qua 01 mar 2023 15:48:19 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696499
qua 01 mar 2023 15:48:21 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696501
qua 01 mar 2023 15:48:23 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696503
qua 01 mar 2023 15:48:25 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696505
qua 01 mar 2023 15:48:27 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696507
qua 01 mar 2023 15:48:29 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696509
qua 01 mar 2023 15:48:31 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696511
qua 01 mar 2023 15:48:33 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696513
qua 01 mar 2023 15:48:35 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696515
qua 01 mar 2023 15:48:37 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696517
qua 01 mar 2023 15:48:38 -03; Group 1; result-77f68799c4-bk5gj; 1.01677696518
qua 01 mar 2023 15:48:41 -03; Group 1; result-77f68799c4-bk5gj; 3.01677696521
qua 01 mar 2023 15:48:42 -03; Group 1; result-77f68799c4-bk5gj; 1.01677696522
qua 01 mar 2023 15:48:44 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696524
qua 01 mar 2023 15:48:46 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696526
qua 01 mar 2023 15:48:48 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696528
qua 01 mar 2023 15:48:50 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696530
qua 01 mar 2023 15:48:52 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696532
qua 01 mar 2023 15:48:54 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696534
qua 01 mar 2023 15:48:56 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696536
qua 01 mar 2023 15:48:58 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696538
qua 01 mar 2023 15:49:00 -03; Group 1; result-77f68799c4-bk5gj; 42.01677696540
qua 01 mar 2023 15:49:02 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696542
qua 01 mar 2023 15:49:04 -03; Group 1; result-77f68799c4-bk5gj; 2.01677696544
