Data; Group; Nome_POD; APT
sáb 04 mar 2023 15:47:22 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955642
sáb 04 mar 2023 15:47:23 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955643
sáb 04 mar 2023 15:47:25 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955645
sáb 04 mar 2023 15:47:26 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955646
sáb 04 mar 2023 15:47:27 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955647
sáb 04 mar 2023 15:47:29 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955649
sáb 04 mar 2023 15:47:30 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955650
sáb 04 mar 2023 15:47:32 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955652
sáb 04 mar 2023 15:47:33 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955653
sáb 04 mar 2023 15:47:35 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955655
sáb 04 mar 2023 15:47:36 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955656
sáb 04 mar 2023 15:47:38 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955658
sáb 04 mar 2023 15:47:39 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955659
sáb 04 mar 2023 15:47:41 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955661
sáb 04 mar 2023 15:47:42 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955662
sáb 04 mar 2023 15:47:44 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955664
sáb 04 mar 2023 15:47:45 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955665
sáb 04 mar 2023 15:47:46 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955666
sáb 04 mar 2023 15:47:48 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955668
sáb 04 mar 2023 15:47:49 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955669
sáb 04 mar 2023 15:47:51 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955671
sáb 04 mar 2023 15:47:52 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955672
sáb 04 mar 2023 15:47:54 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955674
sáb 04 mar 2023 15:47:55 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955675
sáb 04 mar 2023 15:47:57 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955677
sáb 04 mar 2023 15:47:58 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955678
sáb 04 mar 2023 15:48:00 -03; Group 1; db-684b9b49fd-sc2c4; 42.01677955680
sáb 04 mar 2023 15:48:01 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955681
sáb 04 mar 2023 15:48:03 -03; Group 1; db-684b9b49fd-sc2c4; 2.01677955683
sáb 04 mar 2023 15:48:04 -03; Group 1; db-684b9b49fd-sc2c4; 1.01677955684
sáb 04 mar 2023 15:48:15 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955695
sáb 04 mar 2023 15:48:26 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955706
sáb 04 mar 2023 15:48:36 -03; Group 1; redis-67db9bd79b-rftbr; 10.01677955716
sáb 04 mar 2023 15:48:47 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955727
sáb 04 mar 2023 15:48:58 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955738
sáb 04 mar 2023 15:49:09 -03; Group 1; redis-67db9bd79b-rftbr; 51.01677955749
sáb 04 mar 2023 15:49:20 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955760
sáb 04 mar 2023 15:49:31 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955771
sáb 04 mar 2023 15:49:41 -03; Group 1; redis-67db9bd79b-rftbr; 10.01677955781
sáb 04 mar 2023 15:49:52 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955792
sáb 04 mar 2023 15:50:03 -03; Group 1; redis-67db9bd79b-rftbr; 51.01677955803
sáb 04 mar 2023 15:50:14 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955814
sáb 04 mar 2023 15:50:25 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955825
sáb 04 mar 2023 15:50:35 -03; Group 1; redis-67db9bd79b-rftbr; 10.01677955835
sáb 04 mar 2023 15:50:46 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955846
sáb 04 mar 2023 15:50:57 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955857
sáb 04 mar 2023 15:51:08 -03; Group 1; redis-67db9bd79b-rftbr; 51.01677955868
sáb 04 mar 2023 15:51:19 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955879
sáb 04 mar 2023 15:51:29 -03; Group 1; redis-67db9bd79b-rftbr; 10.01677955889
sáb 04 mar 2023 15:51:40 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955900
sáb 04 mar 2023 15:51:51 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955911
sáb 04 mar 2023 15:52:02 -03; Group 1; redis-67db9bd79b-rftbr; 51.01677955922
sáb 04 mar 2023 15:52:13 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955933
sáb 04 mar 2023 15:52:24 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955944
sáb 04 mar 2023 15:52:34 -03; Group 1; redis-67db9bd79b-rftbr; 10.01677955954
sáb 04 mar 2023 15:52:45 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955965
sáb 04 mar 2023 15:52:56 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955976
sáb 04 mar 2023 15:53:07 -03; Group 1; redis-67db9bd79b-rftbr; 51.01677955987
sáb 04 mar 2023 15:53:18 -03; Group 1; redis-67db9bd79b-rftbr; 11.01677955998
sáb 04 mar 2023 15:53:28 -03; Group 1; redis-67db9bd79b-rftbr; 10.01677956008
sáb 04 mar 2023 15:53:30 -03; Group 1; result-77f68799c4-jtcfz; 2.01677956010
sáb 04 mar 2023 15:53:31 -03; Group 1; result-77f68799c4-jtcfz; 1.01677956011
sáb 04 mar 2023 15:53:33 -03; Group 1; result-77f68799c4-jtcfz; 2.01677956013
sáb 04 mar 2023 15:53:34 -03; Group 1; result-77f68799c4-jtcfz; 1.01677956014
