Data; Group; Nome_POD; APT
seg 06 mar 2023 12:04:52 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115092
seg 06 mar 2023 12:04:54 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115094
seg 06 mar 2023 12:04:56 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115096
seg 06 mar 2023 12:04:58 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115098
seg 06 mar 2023 12:05:00 -03; Group 1; db-684b9b49fd-d6xt4; 42.01678115100
seg 06 mar 2023 12:05:02 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115102
seg 06 mar 2023 12:05:04 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115104
seg 06 mar 2023 12:05:06 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115106
seg 06 mar 2023 12:05:08 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115108
seg 06 mar 2023 12:05:10 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115110
seg 06 mar 2023 12:05:12 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115112
seg 06 mar 2023 12:05:14 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115114
seg 06 mar 2023 12:05:15 -03; Group 1; db-684b9b49fd-d6xt4; 1.01678115115
seg 06 mar 2023 12:05:17 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115117
seg 06 mar 2023 12:05:20 -03; Group 1; db-684b9b49fd-d6xt4; 3.01678115120
seg 06 mar 2023 12:05:21 -03; Group 1; db-684b9b49fd-d6xt4; 1.01678115121
seg 06 mar 2023 12:05:23 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115123
seg 06 mar 2023 12:05:25 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115125
seg 06 mar 2023 12:05:27 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115127
seg 06 mar 2023 12:05:30 -03; Group 1; db-684b9b49fd-d6xt4; 3.01678115130
seg 06 mar 2023 12:05:32 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115132
seg 06 mar 2023 12:05:34 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115134
seg 06 mar 2023 12:05:35 -03; Group 1; db-684b9b49fd-d6xt4; 1.01678115135
seg 06 mar 2023 12:05:37 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115137
seg 06 mar 2023 12:05:40 -03; Group 1; db-684b9b49fd-d6xt4; 3.01678115140
seg 06 mar 2023 12:05:41 -03; Group 1; db-684b9b49fd-d6xt4; 1.01678115141
seg 06 mar 2023 12:05:43 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115143
seg 06 mar 2023 12:05:45 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115145
seg 06 mar 2023 12:05:47 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115147
seg 06 mar 2023 12:05:49 -03; Group 1; db-684b9b49fd-d6xt4; 2.01678115149
