Group,APT
Group 2,201.01676625027
Group 2,202.01676625149
Group 2,202.01676625271
Group 2,201.01676625392
Group 2,202.01676625514
Group 2,201.01676625635
Group 2,202.01676625757
Group 2,201.01676625878
Group 2,202.01676626000
Group 2,201.01676626121
Group 2,202.01676626243
Group 2,202.01676626365
Group 2,201.01676626486
Group 2,202.01676626608
Group 2,201.01676626729
Group 2,202.01676626851
Group 2,201.01676626972
Group 2,202.01676627094
Group 2,201.01676627215
Group 2,202.01676627337
Group 2,201.01676627458
Group 2,242.01676627580
Group 2,202.01676627702
Group 2,201.01676627823
Group 2,202.01676627945
Group 2,4201.01676628066
Group 2,202.01676628188
Group 2,202.01676628310
Group 2,201.01676628431
Group 2,202.01676628553
