Data; Group; Nome_POD; CURL
sex 17 fev 2023 11:31:19 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644279
sex 17 fev 2023 11:31:40 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644300
sex 17 fev 2023 11:32:01 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644321
sex 17 fev 2023 11:32:22 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644342
sex 17 fev 2023 11:32:43 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644363
sex 17 fev 2023 11:33:04 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644384
sex 17 fev 2023 11:33:25 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644405
sex 17 fev 2023 11:33:45 -03; Group 2; result-77f68799c4-2g2gv; 20.01676644425
sex 17 fev 2023 11:34:06 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644446
sex 17 fev 2023 11:34:27 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644467
sex 17 fev 2023 11:34:48 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644488
sex 17 fev 2023 11:35:09 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644509
sex 17 fev 2023 11:35:30 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644530
sex 17 fev 2023 11:35:51 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644551
sex 17 fev 2023 11:36:11 -03; Group 2; result-77f68799c4-2g2gv; 60.01676644571
sex 17 fev 2023 11:36:32 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644592
sex 17 fev 2023 11:36:53 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644613
sex 17 fev 2023 11:37:14 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644634
sex 17 fev 2023 11:37:35 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644655
sex 17 fev 2023 11:37:56 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644676
sex 17 fev 2023 11:38:16 -03; Group 2; result-77f68799c4-2g2gv; 60.01676644696
sex 17 fev 2023 11:38:37 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644717
sex 17 fev 2023 11:38:58 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644738
sex 17 fev 2023 11:39:19 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644759
sex 17 fev 2023 11:39:40 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644780
sex 17 fev 2023 11:40:01 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644801
sex 17 fev 2023 11:40:21 -03; Group 2; result-77f68799c4-2g2gv; 20.01676644821
sex 17 fev 2023 11:40:42 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644842
sex 17 fev 2023 11:41:03 -03; Group 2; result-77f68799c4-2g2gv; 61.01676644863
sex 17 fev 2023 11:41:24 -03; Group 2; result-77f68799c4-2g2gv; 21.01676644884
