Data; Group; Nome_POD; WGET
sex 17 fev 2023 11:58:51 -03; Group 1; db-684b9b49fd-bw6q4; 21.01676645931
sex 17 fev 2023 11:59:11 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676645951
sex 17 fev 2023 11:59:31 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676645971
sex 17 fev 2023 11:59:51 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676645991
sex 17 fev 2023 12:00:12 -03; Group 1; db-684b9b49fd-bw6q4; 4061.01676646012
sex 17 fev 2023 12:00:32 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646032
sex 17 fev 2023 12:00:52 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646052
sex 17 fev 2023 12:01:12 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646072
sex 17 fev 2023 12:01:33 -03; Group 1; db-684b9b49fd-bw6q4; 21.01676646093
sex 17 fev 2023 12:01:53 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646113
sex 17 fev 2023 12:02:13 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646133
sex 17 fev 2023 12:02:34 -03; Group 1; db-684b9b49fd-bw6q4; 21.01676646154
sex 17 fev 2023 12:02:54 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646174
sex 17 fev 2023 12:03:14 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646194
sex 17 fev 2023 12:03:34 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646214
sex 17 fev 2023 12:03:55 -03; Group 1; db-684b9b49fd-bw6q4; 21.01676646235
sex 17 fev 2023 12:04:15 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646255
sex 17 fev 2023 12:04:35 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646275
sex 17 fev 2023 12:04:55 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646295
sex 17 fev 2023 12:05:16 -03; Group 1; db-684b9b49fd-bw6q4; 61.01676646316
sex 17 fev 2023 12:05:36 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646336
sex 17 fev 2023 12:05:56 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646356
sex 17 fev 2023 12:06:16 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646376
sex 17 fev 2023 12:06:37 -03; Group 1; db-684b9b49fd-bw6q4; 21.01676646397
sex 17 fev 2023 12:06:57 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646417
sex 17 fev 2023 12:07:17 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646437
sex 17 fev 2023 12:07:37 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646457
sex 17 fev 2023 12:07:58 -03; Group 1; db-684b9b49fd-bw6q4; 21.01676646478
sex 17 fev 2023 12:08:18 -03; Group 1; db-684b9b49fd-bw6q4; 60.01676646498
sex 17 fev 2023 12:08:38 -03; Group 1; db-684b9b49fd-bw6q4; 20.01676646518
