Data; Group; Nome_POD; WGET
sex 17 fev 2023 12:24:03 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647443
sex 17 fev 2023 12:24:04 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647444
sex 17 fev 2023 12:24:04 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647444
sex 17 fev 2023 12:24:05 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647445
sex 17 fev 2023 12:24:05 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647445
sex 17 fev 2023 12:24:06 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647446
sex 17 fev 2023 12:24:06 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647446
sex 17 fev 2023 12:24:07 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647447
sex 17 fev 2023 12:24:07 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647447
sex 17 fev 2023 12:24:08 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647448
sex 17 fev 2023 12:24:08 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647448
sex 17 fev 2023 12:24:09 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647449
sex 17 fev 2023 12:24:09 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647449
sex 17 fev 2023 12:24:10 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647450
sex 17 fev 2023 12:24:10 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647450
sex 17 fev 2023 12:24:11 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647451
sex 17 fev 2023 12:24:11 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647451
sex 17 fev 2023 12:24:12 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647452
sex 17 fev 2023 12:24:12 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647452
sex 17 fev 2023 12:24:13 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647453
sex 17 fev 2023 12:24:13 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647453
sex 17 fev 2023 12:24:14 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647454
sex 17 fev 2023 12:24:15 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647455
sex 17 fev 2023 12:24:15 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647455
sex 17 fev 2023 12:24:16 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647456
sex 17 fev 2023 12:24:16 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647456
sex 17 fev 2023 12:24:17 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647457
sex 17 fev 2023 12:24:17 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647457
sex 17 fev 2023 12:24:18 -03; Group 1; worker-78b9ff59fc-sc8xc; 1.01676647458
sex 17 fev 2023 12:24:18 -03; Group 1; worker-78b9ff59fc-sc8xc; .01676647458
