Group,APT
Group 2,201.01678208212
Group 2,202.01678208334
Group 2,4201.01678208455
Group 2,202.01678208577
Group 2,202.01678208699
Group 2,241.01678208820
Group 2,202.01678208942
Group 2,201.01678209063
Group 2,202.01678209185
Group 2,201.01678209306
Group 2,202.01678209428
Group 2,201.01678209549
Group 2,202.01678209671
Group 2,201.01678209792
Group 2,202.01678209914
Group 2,201.01678210035
Group 2,202.01678210157
Group 2,202.01678210279
Group 2,201.01678210400
Group 2,202.01678210522
Group 2,201.01678210643
Group 2,202.01678210765
Group 2,202.01678210887
Group 2,201.01678211008
Group 2,202.01678211130
Group 2,201.01678211251
Group 2,202.01678211373
Group 2,201.01678211494
Group 2,202.01678211616
Group 2,201.01678211737
