Data; Group; Nome_POD; PING
ter 07 mar 2023 12:09:02 -03; Group 2; db-684b9b49fd-75jjw; 59.01678201742
ter 07 mar 2023 12:09:20 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201760
ter 07 mar 2023 12:09:38 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201778
ter 07 mar 2023 12:09:56 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201796
ter 07 mar 2023 12:10:15 -03; Group 2; db-684b9b49fd-75jjw; 59.01678201815
ter 07 mar 2023 12:10:33 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201833
ter 07 mar 2023 12:10:51 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201851
ter 07 mar 2023 12:11:09 -03; Group 2; db-684b9b49fd-75jjw; 58.01678201869
ter 07 mar 2023 12:11:28 -03; Group 2; db-684b9b49fd-75jjw; 19.01678201888
ter 07 mar 2023 12:11:46 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201906
ter 07 mar 2023 12:12:04 -03; Group 2; db-684b9b49fd-75jjw; 58.01678201924
ter 07 mar 2023 12:12:22 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201942
ter 07 mar 2023 12:12:40 -03; Group 2; db-684b9b49fd-75jjw; 18.01678201960
ter 07 mar 2023 12:12:59 -03; Group 2; db-684b9b49fd-75jjw; 19.01678201979
ter 07 mar 2023 12:13:17 -03; Group 2; db-684b9b49fd-75jjw; 58.01678201997
ter 07 mar 2023 12:13:35 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202015
ter 07 mar 2023 12:13:53 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202033
ter 07 mar 2023 12:14:12 -03; Group 2; db-684b9b49fd-75jjw; 59.01678202052
ter 07 mar 2023 12:14:30 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202070
ter 07 mar 2023 12:14:48 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202088
ter 07 mar 2023 12:15:06 -03; Group 2; db-684b9b49fd-75jjw; 58.01678202106
ter 07 mar 2023 12:15:25 -03; Group 2; db-684b9b49fd-75jjw; 19.01678202125
ter 07 mar 2023 12:15:43 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202143
ter 07 mar 2023 12:16:01 -03; Group 2; db-684b9b49fd-75jjw; 58.01678202161
ter 07 mar 2023 12:16:19 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202179
ter 07 mar 2023 12:16:38 -03; Group 2; db-684b9b49fd-75jjw; 19.01678202198
ter 07 mar 2023 12:16:56 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202216
ter 07 mar 2023 12:17:14 -03; Group 2; db-684b9b49fd-75jjw; 58.01678202234
ter 07 mar 2023 12:17:32 -03; Group 2; db-684b9b49fd-75jjw; 18.01678202252
ter 07 mar 2023 12:17:51 -03; Group 2; db-684b9b49fd-75jjw; 19.01678202271
ter 07 mar 2023 12:18:08 -03; Group 2; redis-67db9bd79b-msprv; 57.01678202288
ter 07 mar 2023 12:18:25 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202305
ter 07 mar 2023 12:18:43 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202323
ter 07 mar 2023 12:19:00 -03; Group 2; redis-67db9bd79b-msprv; 57.01678202340
ter 07 mar 2023 12:19:17 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202357
ter 07 mar 2023 12:19:35 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202375
ter 07 mar 2023 12:19:52 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202392
ter 07 mar 2023 12:20:10 -03; Group 2; redis-67db9bd79b-msprv; 58.01678202410
ter 07 mar 2023 12:20:27 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202427
ter 07 mar 2023 12:20:44 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202444
ter 07 mar 2023 12:21:02 -03; Group 2; redis-67db9bd79b-msprv; 58.01678202462
ter 07 mar 2023 12:21:19 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202479
ter 07 mar 2023 12:21:37 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202497
ter 07 mar 2023 12:21:54 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202514
ter 07 mar 2023 12:22:11 -03; Group 2; redis-67db9bd79b-msprv; 57.01678202531
ter 07 mar 2023 12:22:29 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202549
ter 07 mar 2023 12:22:46 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202566
ter 07 mar 2023 12:23:04 -03; Group 2; redis-67db9bd79b-msprv; 58.01678202584
ter 07 mar 2023 12:23:21 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202601
ter 07 mar 2023 12:23:39 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202619
ter 07 mar 2023 12:23:56 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202636
ter 07 mar 2023 12:24:13 -03; Group 2; redis-67db9bd79b-msprv; 57.01678202653
ter 07 mar 2023 12:24:31 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202671
ter 07 mar 2023 12:24:48 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202688
ter 07 mar 2023 12:25:06 -03; Group 2; redis-67db9bd79b-msprv; 58.01678202706
ter 07 mar 2023 12:25:23 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202723
ter 07 mar 2023 12:25:40 -03; Group 2; redis-67db9bd79b-msprv; 17.01678202740
ter 07 mar 2023 12:25:58 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202758
ter 07 mar 2023 12:26:15 -03; Group 2; redis-67db9bd79b-msprv; 57.01678202775
ter 07 mar 2023 12:26:33 -03; Group 2; redis-67db9bd79b-msprv; 18.01678202793
ter 07 mar 2023 12:26:51 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202811
ter 07 mar 2023 12:27:09 -03; Group 2; result-77f68799c4-tkqx9; 58.01678202829
ter 07 mar 2023 12:27:27 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202847
ter 07 mar 2023 12:27:46 -03; Group 2; result-77f68799c4-tkqx9; 19.01678202866
ter 07 mar 2023 12:28:04 -03; Group 2; result-77f68799c4-tkqx9; 58.01678202884
ter 07 mar 2023 12:28:22 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202902
ter 07 mar 2023 12:28:40 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202920
ter 07 mar 2023 12:28:58 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202938
ter 07 mar 2023 12:29:17 -03; Group 2; result-77f68799c4-tkqx9; 59.01678202957
ter 07 mar 2023 12:29:35 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202975
ter 07 mar 2023 12:29:53 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202993
ter 07 mar 2023 12:30:11 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203011
ter 07 mar 2023 12:30:30 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203030
ter 07 mar 2023 12:30:48 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203048
ter 07 mar 2023 12:31:06 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203066
ter 07 mar 2023 12:31:24 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203084
ter 07 mar 2023 12:31:43 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203103
ter 07 mar 2023 12:32:01 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203121
ter 07 mar 2023 12:32:19 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203139
ter 07 mar 2023 12:32:37 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203157
ter 07 mar 2023 12:32:56 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203176
ter 07 mar 2023 12:33:14 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203194
ter 07 mar 2023 12:33:32 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203212
ter 07 mar 2023 12:33:50 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203230
ter 07 mar 2023 12:34:08 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203248
ter 07 mar 2023 12:34:27 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203267
ter 07 mar 2023 12:34:45 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203285
ter 07 mar 2023 12:35:03 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203303
ter 07 mar 2023 12:35:21 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203321
ter 07 mar 2023 12:35:40 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203340
ter 07 mar 2023 12:35:57 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203357
ter 07 mar 2023 12:36:14 -03; Group 2; vote-79787c6c8b-hdd92; 57.01678203374
ter 07 mar 2023 12:36:32 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203392
ter 07 mar 2023 12:36:49 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203409
ter 07 mar 2023 12:37:07 -03; Group 2; vote-79787c6c8b-hdd92; 58.01678203427
ter 07 mar 2023 12:37:24 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203444
ter 07 mar 2023 12:37:42 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203462
ter 07 mar 2023 12:37:59 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203479
ter 07 mar 2023 12:38:16 -03; Group 2; vote-79787c6c8b-hdd92; 57.01678203496
ter 07 mar 2023 12:38:34 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203514
ter 07 mar 2023 12:38:51 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203531
ter 07 mar 2023 12:39:09 -03; Group 2; vote-79787c6c8b-hdd92; 58.01678203549
ter 07 mar 2023 12:39:26 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203566
ter 07 mar 2023 12:39:43 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203583
ter 07 mar 2023 12:40:01 -03; Group 2; vote-79787c6c8b-hdd92; 58.01678203601
ter 07 mar 2023 12:40:18 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203618
ter 07 mar 2023 12:40:36 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203636
ter 07 mar 2023 12:40:53 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203653
ter 07 mar 2023 12:41:10 -03; Group 2; vote-79787c6c8b-hdd92; 57.01678203670
ter 07 mar 2023 12:41:28 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203688
ter 07 mar 2023 12:41:45 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203705
ter 07 mar 2023 12:42:03 -03; Group 2; vote-79787c6c8b-hdd92; 58.01678203723
ter 07 mar 2023 12:42:20 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203740
ter 07 mar 2023 12:42:37 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203757
ter 07 mar 2023 12:42:55 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203775
ter 07 mar 2023 12:43:12 -03; Group 2; vote-79787c6c8b-hdd92; 57.01678203792
ter 07 mar 2023 12:43:30 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203810
ter 07 mar 2023 12:43:47 -03; Group 2; vote-79787c6c8b-hdd92; 17.01678203827
ter 07 mar 2023 12:44:04 -03; Group 2; vote-79787c6c8b-hdd92; 57.01678203844
ter 07 mar 2023 12:44:22 -03; Group 2; vote-79787c6c8b-hdd92; 18.01678203862
ter 07 mar 2023 12:44:29 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203869
ter 07 mar 2023 12:44:36 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203876
ter 07 mar 2023 12:44:43 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203883
ter 07 mar 2023 12:44:51 -03; Group 2; worker-78b9ff59fc-bnftj; 8.01678203891
ter 07 mar 2023 12:44:58 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203898
ter 07 mar 2023 12:45:05 -03; Group 2; worker-78b9ff59fc-bnftj; 47.01678203905
ter 07 mar 2023 12:45:12 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203912
ter 07 mar 2023 12:45:19 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203919
ter 07 mar 2023 12:45:27 -03; Group 2; worker-78b9ff59fc-bnftj; 8.01678203927
ter 07 mar 2023 12:45:34 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203934
ter 07 mar 2023 12:45:41 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203941
ter 07 mar 2023 12:45:48 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203948
ter 07 mar 2023 12:45:55 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203955
ter 07 mar 2023 12:46:03 -03; Group 2; worker-78b9ff59fc-bnftj; 48.01678203963
ter 07 mar 2023 12:46:10 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203970
ter 07 mar 2023 12:46:17 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203977
ter 07 mar 2023 12:46:25 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203984
ter 07 mar 2023 12:46:32 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203992
ter 07 mar 2023 12:46:39 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678203999
ter 07 mar 2023 12:46:46 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204006
ter 07 mar 2023 12:46:53 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204013
ter 07 mar 2023 12:47:01 -03; Group 2; worker-78b9ff59fc-bnftj; 48.01678204021
ter 07 mar 2023 12:47:08 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204028
ter 07 mar 2023 12:47:15 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204035
ter 07 mar 2023 12:47:22 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204042
ter 07 mar 2023 12:47:30 -03; Group 2; worker-78b9ff59fc-bnftj; 8.01678204050
ter 07 mar 2023 12:47:37 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204057
ter 07 mar 2023 12:47:44 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204064
ter 07 mar 2023 12:47:51 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204071
ter 07 mar 2023 12:47:58 -03; Group 2; worker-78b9ff59fc-bnftj; 7.01678204078
