Data; Group; Nome_POD; PING
ter 07 mar 2023 12:26:51 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202811
ter 07 mar 2023 12:27:09 -03; Group 2; result-77f68799c4-tkqx9; 58.01678202829
ter 07 mar 2023 12:27:27 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202847
ter 07 mar 2023 12:27:46 -03; Group 2; result-77f68799c4-tkqx9; 19.01678202866
ter 07 mar 2023 12:28:04 -03; Group 2; result-77f68799c4-tkqx9; 58.01678202884
ter 07 mar 2023 12:28:22 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202902
ter 07 mar 2023 12:28:40 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202920
ter 07 mar 2023 12:28:58 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202938
ter 07 mar 2023 12:29:17 -03; Group 2; result-77f68799c4-tkqx9; 59.01678202957
ter 07 mar 2023 12:29:35 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202975
ter 07 mar 2023 12:29:53 -03; Group 2; result-77f68799c4-tkqx9; 18.01678202993
ter 07 mar 2023 12:30:11 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203011
ter 07 mar 2023 12:30:30 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203030
ter 07 mar 2023 12:30:48 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203048
ter 07 mar 2023 12:31:06 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203066
ter 07 mar 2023 12:31:24 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203084
ter 07 mar 2023 12:31:43 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203103
ter 07 mar 2023 12:32:01 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203121
ter 07 mar 2023 12:32:19 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203139
ter 07 mar 2023 12:32:37 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203157
ter 07 mar 2023 12:32:56 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203176
ter 07 mar 2023 12:33:14 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203194
ter 07 mar 2023 12:33:32 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203212
ter 07 mar 2023 12:33:50 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203230
ter 07 mar 2023 12:34:08 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203248
ter 07 mar 2023 12:34:27 -03; Group 2; result-77f68799c4-tkqx9; 19.01678203267
ter 07 mar 2023 12:34:45 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203285
ter 07 mar 2023 12:35:03 -03; Group 2; result-77f68799c4-tkqx9; 58.01678203303
ter 07 mar 2023 12:35:21 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203321
ter 07 mar 2023 12:35:40 -03; Group 2; result-77f68799c4-tkqx9; 18.01678203340
