Data; Group; Nome_POD; CURL
sáb 25 fev 2023 17:32:24 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357144
sáb 25 fev 2023 17:32:29 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357149
sáb 25 fev 2023 17:32:34 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357154
sáb 25 fev 2023 17:32:39 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357159
sáb 25 fev 2023 17:32:45 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357165
sáb 25 fev 2023 17:32:50 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357170
sáb 25 fev 2023 17:32:55 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357175
sáb 25 fev 2023 17:33:00 -03; Group 2; redis-67db9bd79b-dxqz2; 45.01677357180
sáb 25 fev 2023 17:33:06 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357186
sáb 25 fev 2023 17:33:11 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357191
sáb 25 fev 2023 17:33:16 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357196
sáb 25 fev 2023 17:33:21 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357201
sáb 25 fev 2023 17:33:26 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357206
sáb 25 fev 2023 17:33:32 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357212
sáb 25 fev 2023 17:33:37 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357217
sáb 25 fev 2023 17:33:42 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357222
sáb 25 fev 2023 17:33:47 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357227
sáb 25 fev 2023 17:33:53 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357233
sáb 25 fev 2023 17:33:58 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357238
sáb 25 fev 2023 17:34:03 -03; Group 2; redis-67db9bd79b-dxqz2; 45.01677357243
sáb 25 fev 2023 17:34:09 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357248
sáb 25 fev 2023 17:34:14 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357254
sáb 25 fev 2023 17:34:19 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357259
sáb 25 fev 2023 17:34:24 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357264
sáb 25 fev 2023 17:34:29 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357269
sáb 25 fev 2023 17:34:35 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357275
sáb 25 fev 2023 17:34:40 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357280
sáb 25 fev 2023 17:34:45 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357285
sáb 25 fev 2023 17:34:50 -03; Group 2; redis-67db9bd79b-dxqz2; 5.01677357290
sáb 25 fev 2023 17:34:56 -03; Group 2; redis-67db9bd79b-dxqz2; 6.01677357296
