Data; Group; Nome_POD; WGET
sáb 25 fev 2023 17:51:51 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358311
sáb 25 fev 2023 17:52:12 -03; Group 1; db-684b9b49fd-m6zb8; 61.01677358332
sáb 25 fev 2023 17:52:32 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358352
sáb 25 fev 2023 17:52:52 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358372
sáb 25 fev 2023 17:53:12 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358392
sáb 25 fev 2023 17:53:33 -03; Group 1; db-684b9b49fd-m6zb8; 21.01677358413
sáb 25 fev 2023 17:53:53 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358433
sáb 25 fev 2023 17:54:13 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358453
sáb 25 fev 2023 17:54:33 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358473
sáb 25 fev 2023 17:54:54 -03; Group 1; db-684b9b49fd-m6zb8; 21.01677358494
sáb 25 fev 2023 17:55:14 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358514
sáb 25 fev 2023 17:55:34 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358534
sáb 25 fev 2023 17:55:55 -03; Group 1; db-684b9b49fd-m6zb8; 21.01677358555
sáb 25 fev 2023 17:56:15 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358575
sáb 25 fev 2023 17:56:35 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358595
sáb 25 fev 2023 17:56:55 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358615
sáb 25 fev 2023 17:57:15 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358635
sáb 25 fev 2023 17:57:36 -03; Group 1; db-684b9b49fd-m6zb8; 21.01677358656
sáb 25 fev 2023 17:57:56 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358676
sáb 25 fev 2023 17:58:16 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358696
sáb 25 fev 2023 17:58:36 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358716
sáb 25 fev 2023 17:58:57 -03; Group 1; db-684b9b49fd-m6zb8; 21.01677358737
sáb 25 fev 2023 17:59:17 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358757
sáb 25 fev 2023 17:59:37 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358777
sáb 25 fev 2023 17:59:57 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358797
sáb 25 fev 2023 18:00:18 -03; Group 1; db-684b9b49fd-m6zb8; 4061.01677358818
sáb 25 fev 2023 18:00:38 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358838
sáb 25 fev 2023 18:00:58 -03; Group 1; db-684b9b49fd-m6zb8; 20.01677358858
sáb 25 fev 2023 18:01:18 -03; Group 1; db-684b9b49fd-m6zb8; 60.01677358878
sáb 25 fev 2023 18:01:39 -03; Group 1; db-684b9b49fd-m6zb8; 21.01677358899
