Data; Group; Nome_POD; WGET
dom 26 fev 2023 15:07:29 -03; Group 1; result-77f68799c4-t2pjf; 20.01677434849
dom 26 fev 2023 15:07:49 -03; Group 1; result-77f68799c4-t2pjf; 20.01677434869
dom 26 fev 2023 15:08:10 -03; Group 1; result-77f68799c4-t2pjf; 60.01677434889
dom 26 fev 2023 15:08:30 -03; Group 1; result-77f68799c4-t2pjf; 20.01677434910
dom 26 fev 2023 15:08:50 -03; Group 1; result-77f68799c4-t2pjf; 20.01677434930
dom 26 fev 2023 15:09:10 -03; Group 1; result-77f68799c4-t2pjf; 60.01677434950
dom 26 fev 2023 15:09:31 -03; Group 1; result-77f68799c4-t2pjf; 21.01677434971
dom 26 fev 2023 15:09:51 -03; Group 1; result-77f68799c4-t2pjf; 20.01677434991
dom 26 fev 2023 15:10:11 -03; Group 1; result-77f68799c4-t2pjf; 60.01677435011
dom 26 fev 2023 15:10:31 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435031
dom 26 fev 2023 15:10:52 -03; Group 1; result-77f68799c4-t2pjf; 21.01677435052
dom 26 fev 2023 15:11:12 -03; Group 1; result-77f68799c4-t2pjf; 60.01677435072
dom 26 fev 2023 15:11:32 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435092
dom 26 fev 2023 15:11:52 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435112
dom 26 fev 2023 15:12:13 -03; Group 1; result-77f68799c4-t2pjf; 61.01677435133
dom 26 fev 2023 15:12:33 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435153
dom 26 fev 2023 15:12:53 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435173
dom 26 fev 2023 15:13:13 -03; Group 1; result-77f68799c4-t2pjf; 60.01677435193
dom 26 fev 2023 15:13:34 -03; Group 1; result-77f68799c4-t2pjf; 21.01677435214
dom 26 fev 2023 15:13:54 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435234
dom 26 fev 2023 15:14:14 -03; Group 1; result-77f68799c4-t2pjf; 60.01677435254
dom 26 fev 2023 15:14:34 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435274
dom 26 fev 2023 15:14:55 -03; Group 1; result-77f68799c4-t2pjf; 21.01677435295
dom 26 fev 2023 15:15:15 -03; Group 1; result-77f68799c4-t2pjf; 60.01677435315
dom 26 fev 2023 15:15:35 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435335
dom 26 fev 2023 15:15:56 -03; Group 1; result-77f68799c4-t2pjf; 21.01677435356
dom 26 fev 2023 15:16:16 -03; Group 1; result-77f68799c4-t2pjf; 60.01677435376
dom 26 fev 2023 15:16:36 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435396
dom 26 fev 2023 15:16:56 -03; Group 1; result-77f68799c4-t2pjf; 20.01677435416
dom 26 fev 2023 15:17:17 -03; Group 1; result-77f68799c4-t2pjf; 61.01677435437
